comparison_id,comparison_name,gene_set,gene_name
covid_india_covid_19_control,COVID-INDIA,Upregulated genes,AL627309.5
covid_india_covid_19_control,COVID-INDIA,Downregulated genes,AL645608.7
covid_india_covid_19_control,COVID-INDIA,Differential exon usage,AP3D1
covid_india_covid_19_control,COVID-INDIA,Differential transcript expression,ALB
covid_india_covid_19_control,COVID-INDIA,Differential intron excision,UBE3A
covid_india_covid_19_control,COVID-INDIA,Differential alternative splicing,TSPYL2
covid_india_covid_19_control,COVID-INDIA,Upregulated genes,AL732372.2
covid_india_covid_19_control,COVID-INDIA,Downregulated genes,HES4
covid_india_covid_19_control,COVID-INDIA,Differential exon usage,SEMA4A
covid_india_covid_19_control,COVID-INDIA,Differential transcript expression,FGB
covid_india_covid_19_control,COVID-INDIA,Differential intron excision,GON4L
covid_india_covid_19_control,COVID-INDIA,Differential alternative splicing,SRSF6
covid_india_covid_19_control,COVID-INDIA,Upregulated genes,MTND1P23
covid_india_covid_19_control,COVID-INDIA,Downregulated genes,ISG15
covid_india_covid_19_control,COVID-INDIA,Differential exon usage,ABTB1
covid_india_covid_19_control,COVID-INDIA,Differential transcript expression,APOC3
covid_india_covid_19_control,COVID-INDIA,Differential intron excision,KLC1
covid_india_covid_19_control,COVID-INDIA,Differential alternative splicing,PSME3IP1
covid_india_covid_19_control,COVID-INDIA,Upregulated genes,MTCO1P12
covid_india_covid_19_control,COVID-INDIA,Downregulated genes,AGRN
covid_india_covid_19_control,COVID-INDIA,Differential exon usage,UBE3A
covid_india_covid_19_control,COVID-INDIA,Differential transcript expression,CRP
covid_india_covid_19_control,COVID-INDIA,Differential intron excision,PECAM1
covid_india_covid_19_control,COVID-INDIA,Differential alternative splicing,MT1M
covid_india_covid_19_control,COVID-INDIA,Upregulated genes,MTCO2P12
covid_india_covid_19_control,COVID-INDIA,Downregulated genes,TTLL10
covid_india_covid_19_control,COVID-INDIA,Differential exon usage,NFIB
covid_india_covid_19_control,COVID-INDIA,Differential transcript expression,FGL1
covid_india_covid_19_control,COVID-INDIA,Differential intron excision,XPO1
covid_india_covid_19_control,COVID-INDIA,Differential alternative splicing,TPM1
covid_india_covid_19_control,COVID-INDIA,Upregulated genes,MTATP6P1
covid_india_covid_19_control,COVID-INDIA,Downregulated genes,TNFRSF18
covid_india_covid_19_control,COVID-INDIA,Differential exon usage,EPHX1
covid_india_covid_19_control,COVID-INDIA,Differential transcript expression,APOA2
