comparison_id,comparison_name,gene_set,gene_name
nafld_control_nafld,NAFLD,Upregulated genes,AL627309.7
nafld_control_nafld,NAFLD,Downregulated genes,MTND1P23
nafld_control_nafld,NAFLD,Differential exon usage,XIST
nafld_control_nafld,NAFLD,Differential transcript expression,GATM
nafld_control_nafld,NAFLD,Differential intron excision,HSD17B6
nafld_control_nafld,NAFLD,Differential alternative splicing,MKNK2
nafld_control_nafld,NAFLD,Upregulated genes,WASH9P
nafld_control_nafld,NAFLD,Downregulated genes,MTND2P28
nafld_control_nafld,NAFLD,Differential exon usage,GATA3
nafld_control_nafld,NAFLD,Differential transcript expression,TMBIM6
nafld_control_nafld,NAFLD,Differential intron excision,ECHDC2
nafld_control_nafld,NAFLD,Differential alternative splicing,MBD1
nafld_control_nafld,NAFLD,Upregulated genes,LINC02593
nafld_control_nafld,NAFLD,Downregulated genes,MTCO1P12
nafld_control_nafld,NAFLD,Differential exon usage,KNDC1
nafld_control_nafld,NAFLD,Differential transcript expression,ITIH2
nafld_control_nafld,NAFLD,Differential intron excision,SLC22A10
nafld_control_nafld,NAFLD,Differential alternative splicing,APOC1
nafld_control_nafld,NAFLD,Upregulated genes,AGRN
nafld_control_nafld,NAFLD,Downregulated genes,AC114498.2
nafld_control_nafld,NAFLD,Differential exon usage,RXFP1
nafld_control_nafld,NAFLD,Differential transcript expression,EIF3A
nafld_control_nafld,NAFLD,Differential intron excision,LCAT
nafld_control_nafld,NAFLD,Differential alternative splicing,ORAI3
nafld_control_nafld,NAFLD,Upregulated genes,C1orf159
nafld_control_nafld,NAFLD,Downregulated genes,AL034417.2
nafld_control_nafld,NAFLD,Differential exon usage,SIM1
nafld_control_nafld,NAFLD,Differential transcript expression,HSD17B6
nafld_control_nafld,NAFLD,Differential intron excision,HNMT
nafld_control_nafld,NAFLD,Differential alternative splicing,DNAJC19
nafld_control_nafld,NAFLD,Upregulated genes,AL390719.2
nafld_control_nafld,NAFLD,Downregulated genes,LINC01714
nafld_control_nafld,NAFLD,Differential exon usage,KLF5
nafld_control_nafld,NAFLD,Differential transcript expression,STAU1
nafld_control_nafld,NAFLD,Differential intron excision,UQCRH
nafld_control_nafld,NAFLD,Differential alternative splicing,NNT
nafld_control_nafld,NAFLD,Upregulated genes,C1QTNF12
