comparison_id,comparison_name,gene_set,gene_name
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,CFAP74
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,MTCO1P12
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,UBA52
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,FGG
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,CTSB
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,FCGRT
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,AL034417.3
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,SAMD11
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,ALDH2
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,SCARB2
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,VKORC1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,CEP192
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,AL451042.1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,KLHL17
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,IGHA1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,HNRNPU
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,MAT1A
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,AC087482.1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,PADI4
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,AL645608.7
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,PGLYRP2
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,FTH1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,NNMT
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,CTSB
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,AL357500.1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,HES4
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,SERF2
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,HSD11B1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,ATP5F1B
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,MAP4
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,AC114495.2
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,ISG15
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,HSPB1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,GPX3
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,SLCO2B1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,TMEM43
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,GJB3
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,AGRN
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,CALR
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,CTSD
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,ADH1B
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,MRPL55
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,AC093151.2
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,AL390719.1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,RPL13
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,RPL13
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,UGT2B4
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,ADORA2A-AS1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,PLK3
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,TNFRSF4
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,XBP1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,ATP5F1C
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,SLC2A2
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,AL136456.1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,ELAVL4-AS1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,CPTP
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,DDRGK1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,RBBP6
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,BDH1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,NME4
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,FAM151A
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,ANKRD65
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,TMED9
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,APOC3
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,NME1-NME2
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,SLC7A2
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,LINC01767
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,VWA1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,DHRS7
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,RPL15
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,FTCD
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,ASAH1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,RN7SL130P
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,GABRD
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,AHSG
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,EPHX1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,SERPINF1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,CYRIB
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,NEGR1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Downregulated genes,AL139246.5
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential exon usage,YBX1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential transcript expression,CARHSP1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential intron excision,MIA2
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Differential alternative splicing,MPPE1
liver_diseases_normal_dysplastic_nodule,Dysplastic_nodule,Upregulated genes,AC103591.3
