comparison_id,comparison_name,gene_set,gene_name
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Upregulated genes,MTCO1P12
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Downregulated genes,SAMD11
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential exon usage,ALDH2
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential transcript expression,FGG
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential intron excision,MAT1A
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential alternative splicing,IRF7
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Upregulated genes,AL034417.3
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Downregulated genes,AL645608.7
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential exon usage,HSD17B4
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential transcript expression,GPX3
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential intron excision,ATP5F1B
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential alternative splicing,NQO2
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Upregulated genes,PADI4
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Downregulated genes,HES4
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential exon usage,SLC7A2
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential transcript expression,RPL13
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential intron excision,CTSB
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential alternative splicing,BCAR1
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Upregulated genes,AL357500.1
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Downregulated genes,ISG15
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential exon usage,UBA52
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential transcript expression,HNRNPU
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential intron excision,SLC2A2
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential alternative splicing,MAP4
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Upregulated genes,GJB3
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Downregulated genes,AGRN
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential exon usage,SOD2
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential transcript expression,HSD11B1
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential intron excision,CYP3A4
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential alternative splicing,MRPL55
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Upregulated genes,AC119674.1
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Downregulated genes,AL390719.1
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential exon usage,HINT1
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential transcript expression,LEAP2
liver_diseases_normal_liver_cirrhosis,Liver_cirrhosis,Differential intron excision,VKORC1
