comparison_id,comparison_name,gene_set,gene_name
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Upregulated genes,MTCO1P12
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Downregulated genes,SAMD11
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential exon usage,IGHA1
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential transcript expression,FGG
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential intron excision,CTSB
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential alternative splicing,NUP62
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Upregulated genes,DPYD-IT1
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Downregulated genes,PLEKHN1
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential exon usage,ALDH2
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential transcript expression,RPL13
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential intron excision,ATP5F1B
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential alternative splicing,ZNF253
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Upregulated genes,RN7SL600P
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Downregulated genes,ISG15
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential exon usage,UBA52
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential transcript expression,HNRNPU
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential intron excision,FCGRT
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential alternative splicing,LDLRAD4
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Upregulated genes,LINC02819
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Downregulated genes,AGRN
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential exon usage,SDC2
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential transcript expression,SDC2
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential intron excision,HGD
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Differential alternative splicing,AC087482.1
liver_diseases_normal_chronic_hepatitis,Chronic_hepatitis,Upregulated genes,OR10J5
