comparison_id,comparison_name,gene_set,gene_name
mers_mers4_control,MERS4,Upregulated genes,HTR1D
mers_mers4_control,MERS4,Downregulated genes,TMEM52
mers_mers4_control,MERS4,Differential exon usage,ADGRF1
mers_mers4_control,MERS4,Differential transcript expression,ATP13A3
mers_mers4_control,MERS4,Differential intron excision,ABR
mers_mers4_control,MERS4,Differential alternative splicing,IVNS1ABP
mers_mers4_control,MERS4,Upregulated genes,RSRP1
mers_mers4_control,MERS4,Downregulated genes,PLCH2
mers_mers4_control,MERS4,Differential exon usage,SREK1
mers_mers4_control,MERS4,Differential transcript expression,ABCF3
mers_mers4_control,MERS4,Differential intron excision,HLA-A
mers_mers4_control,MERS4,Differential alternative splicing,HNRNPH3
mers_mers4_control,MERS4,Upregulated genes,SPOCD1
mers_mers4_control,MERS4,Downregulated genes,TNFRSF14-AS1
mers_mers4_control,MERS4,Differential exon usage,ANXA2
mers_mers4_control,MERS4,Differential transcript expression,MORF4L1
mers_mers4_control,MERS4,Differential intron excision,ABHD2
mers_mers4_control,MERS4,Differential alternative splicing,CYP24A1
mers_mers4_control,MERS4,Upregulated genes,AL357079.1
mers_mers4_control,MERS4,Downregulated genes,MMEL1
mers_mers4_control,MERS4,Differential exon usage,CD46
mers_mers4_control,MERS4,Differential transcript expression,CEP290
mers_mers4_control,MERS4,Differential intron excision,POLR2J2
mers_mers4_control,MERS4,Differential alternative splicing,F3
mers_mers4_control,MERS4,Upregulated genes,AL139220.2
mers_mers4_control,MERS4,Downregulated genes,MEGF6
mers_mers4_control,MERS4,Differential exon usage,DHX36
mers_mers4_control,MERS4,Differential transcript expression,NPM1
mers_mers4_control,MERS4,Differential intron excision,ZNF207
mers_mers4_control,MERS4,Differential alternative splicing,CEP290
mers_mers4_control,MERS4,Upregulated genes,ROR1-AS1
mers_mers4_control,MERS4,Downregulated genes,FBXO44
mers_mers4_control,MERS4,Differential exon usage,RASGRF2
mers_mers4_control,MERS4,Differential transcript expression,WNK2
mers_mers4_control,MERS4,Differential intron excision,CYP24A1
mers_mers4_control,MERS4,Differential alternative splicing,XPO1
mers_mers4_control,MERS4,Upregulated genes,DIRAS3
mers_mers4_control,MERS4,Downregulated genes,TNFRSF1B
mers_mers4_control,MERS4,Differential exon usage,TBC1D8B
mers_mers4_control,MERS4,Differential transcript expression,MSH2
mers_mers4_control,MERS4,Differential intron excision,CPNE1
mers_mers4_control,MERS4,Differential alternative splicing,PRRC2C
mers_mers4_control,MERS4,Upregulated genes,IFI44L
mers_mers4_control,MERS4,Downregulated genes,ID3
mers_mers4_control,MERS4,Differential exon usage,MAP4
mers_mers4_control,MERS4,Differential transcript expression,MYADM
mers_mers4_control,MERS4,Differential intron excision,IVNS1ABP
mers_mers4_control,MERS4,Differential alternative splicing,ATP13A3
mers_mers4_control,MERS4,Upregulated genes,IFI44
mers_mers4_control,MERS4,Downregulated genes,TENT5B
mers_mers4_control,MERS4,Differential exon usage,TOP2A
mers_mers4_control,MERS4,Differential transcript expression,SLC29A2
mers_mers4_control,MERS4,Differential intron excision,CEP170
mers_mers4_control,MERS4,Differential alternative splicing,HNRNPA2B1
mers_mers4_control,MERS4,Upregulated genes,GCLM
mers_mers4_control,MERS4,Downregulated genes,ADGRB2
mers_mers4_control,MERS4,Differential exon usage,DST
mers_mers4_control,MERS4,Differential transcript expression,PRRC2B
mers_mers4_control,MERS4,Differential intron excision,PRRC2C
mers_mers4_control,MERS4,Differential alternative splicing,CNOT1
mers_mers4_control,MERS4,Upregulated genes,SPRR3
mers_mers4_control,MERS4,Downregulated genes,RIMS3
mers_mers4_control,MERS4,Differential exon usage,CALU
mers_mers4_control,MERS4,Differential transcript expression,ADGRG1
mers_mers4_control,MERS4,Differential intron excision,TBC1D3
mers_mers4_control,MERS4,Differential alternative splicing,SYNRG
mers_mers4_control,MERS4,Upregulated genes,NCF2
mers_mers4_control,MERS4,Downregulated genes,NFYC-AS1
mers_mers4_control,MERS4,Differential exon usage,ENC1
mers_mers4_control,MERS4,Differential transcript expression,TFG
mers_mers4_control,MERS4,Differential intron excision,SLC25A36
mers_mers4_control,MERS4,Differential alternative splicing,ITGB6
mers_mers4_control,MERS4,Upregulated genes,PKP1
mers_mers4_control,MERS4,Downregulated genes,CITED4
mers_mers4_control,MERS4,Differential exon usage,CHORDC1
mers_mers4_control,MERS4,Differential transcript expression,TNIP1
mers_mers4_control,MERS4,Differential intron excision,GPBP1
mers_mers4_control,MERS4,Differential alternative splicing,ZNF207
mers_mers4_control,MERS4,Upregulated genes,LRRN2
mers_mers4_control,MERS4,Downregulated genes,RIMKLA
mers_mers4_control,MERS4,Differential exon usage,EEF1D
mers_mers4_control,MERS4,Differential transcript expression,RBM15
mers_mers4_control,MERS4,Differential intron excision,SYNRG
mers_mers4_control,MERS4,Differential alternative splicing,POLR1B
mers_mers4_control,MERS4,Upregulated genes,AL359921.2
mers_mers4_control,MERS4,Downregulated genes,TESK2
mers_mers4_control,MERS4,Differential exon usage,ADAM9
mers_mers4_control,MERS4,Differential transcript expression,ARHGEF28
mers_mers4_control,MERS4,Differential intron excision,TBC1D3C
mers_mers4_control,MERS4,Differential alternative splicing,SLC25A36
mers_mers4_control,MERS4,Upregulated genes,KIF26B
mers_mers4_control,MERS4,Downregulated genes,SPATA6
mers_mers4_control,MERS4,Differential exon usage,NONO
mers_mers4_control,MERS4,Differential transcript expression,CHD9
mers_mers4_control,MERS4,Differential intron excision,SREK1
mers_mers4_control,MERS4,Differential alternative splicing,MYSM1
mers_mers4_control,MERS4,Upregulated genes,PGBD2
mers_mers4_control,MERS4,Downregulated genes,AL445437.1
mers_mers4_control,MERS4,Differential exon usage,UFD1
mers_mers4_control,MERS4,Differential transcript expression,NF2
mers_mers4_control,MERS4,Differential intron excision,ATP13A3
mers_mers4_control,MERS4,Differential alternative splicing,TSNAXIP1
mers_mers4_control,MERS4,Upregulated genes,CMPK2
mers_mers4_control,MERS4,Downregulated genes,BTBD8
mers_mers4_control,MERS4,Differential exon usage,XPO1
mers_mers4_control,MERS4,Differential transcript expression,TPP1
mers_mers4_control,MERS4,Differential intron excision,F3
