comparison_id,comparison_name,gene_set,gene_name
ipf_ipf_control,IPF,Upregulated genes,AL645608.2
ipf_ipf_control,IPF,Downregulated genes,FAM41C
ipf_ipf_control,IPF,Differential exon usage,DLG2
ipf_ipf_control,IPF,Differential transcript expression,CELF2
ipf_ipf_control,IPF,Differential intron excision,SPTBN1
ipf_ipf_control,IPF,Differential alternative splicing,ARMCX5
ipf_ipf_control,IPF,Upregulated genes,LINC02593
ipf_ipf_control,IPF,Downregulated genes,AL590822.2
ipf_ipf_control,IPF,Differential exon usage,SPTBN1
ipf_ipf_control,IPF,Differential transcript expression,COMP
ipf_ipf_control,IPF,Differential intron excision,C2
ipf_ipf_control,IPF,Differential alternative splicing,MED15
ipf_ipf_control,IPF,Upregulated genes,SAMD11
ipf_ipf_control,IPF,Downregulated genes,PRDM16-DT
ipf_ipf_control,IPF,Differential exon usage,SCEL
ipf_ipf_control,IPF,Differential transcript expression,GREM1
ipf_ipf_control,IPF,Differential intron excision,GGCT
ipf_ipf_control,IPF,Differential alternative splicing,HMGN1
ipf_ipf_control,IPF,Upregulated genes,TNFRSF18
ipf_ipf_control,IPF,Downregulated genes,AL008733.1
ipf_ipf_control,IPF,Differential exon usage,ARHGEF4
ipf_ipf_control,IPF,Differential transcript expression,ELN
ipf_ipf_control,IPF,Differential intron excision,PCAT19
ipf_ipf_control,IPF,Differential alternative splicing,SNRNP70
ipf_ipf_control,IPF,Upregulated genes,TAS1R3
ipf_ipf_control,IPF,Downregulated genes,AL359881.3
ipf_ipf_control,IPF,Differential exon usage,TPM1
ipf_ipf_control,IPF,Differential transcript expression,LTBP1
ipf_ipf_control,IPF,Differential intron excision,MYL6
ipf_ipf_control,IPF,Differential alternative splicing,AC006504.5
ipf_ipf_control,IPF,Upregulated genes,CFAP74
ipf_ipf_control,IPF,Downregulated genes,AL359881.2
ipf_ipf_control,IPF,Differential exon usage,LAMA3
ipf_ipf_control,IPF,Differential transcript expression,S100A2
ipf_ipf_control,IPF,Differential intron excision,POSTN
ipf_ipf_control,IPF,Differential alternative splicing,ADGRG1
ipf_ipf_control,IPF,Upregulated genes,PLCH2
ipf_ipf_control,IPF,Downregulated genes,AL359881.1
ipf_ipf_control,IPF,Differential exon usage,S1PR3
ipf_ipf_control,IPF,Differential transcript expression,CD36
ipf_ipf_control,IPF,Differential intron excision,HMGN1
ipf_ipf_control,IPF,Differential alternative splicing,VEGFA
ipf_ipf_control,IPF,Upregulated genes,TP73
ipf_ipf_control,IPF,Downregulated genes,PER3
ipf_ipf_control,IPF,Differential exon usage,ISLR
ipf_ipf_control,IPF,Differential transcript expression,POSTN
ipf_ipf_control,IPF,Differential intron excision,PDGFA
ipf_ipf_control,IPF,Differential alternative splicing,IL6ST
ipf_ipf_control,IPF,Upregulated genes,HES2
ipf_ipf_control,IPF,Downregulated genes,AL034417.4
ipf_ipf_control,IPF,Differential exon usage,FN1
ipf_ipf_control,IPF,Differential transcript expression,MMP2
