comparison_id,comparison_name,gene_set,gene_name
copd_control_copd,COPD,Upregulated genes,PLA2G2A
copd_control_copd,COPD,Downregulated genes,MTND2P28
copd_control_copd,COPD,Differential exon usage,CYP4Z2P
copd_control_copd,COPD,Differential transcript expression,FN1
copd_control_copd,COPD,Differential intron excision,HLA-DMA
copd_control_copd,COPD,Differential alternative splicing,HMGN1
copd_control_copd,COPD,Upregulated genes,AL445933.2
copd_control_copd,COPD,Downregulated genes,MTCO2P12
copd_control_copd,COPD,Differential exon usage,CASC3
copd_control_copd,COPD,Differential transcript expression,CANX
copd_control_copd,COPD,Differential intron excision,CDK11A
copd_control_copd,COPD,Differential alternative splicing,CPNE1
copd_control_copd,COPD,Upregulated genes,ERICH3-AS1
copd_control_copd,COPD,Downregulated genes,MTCO3P12
copd_control_copd,COPD,Differential exon usage,TRA2B
copd_control_copd,COPD,Differential transcript expression,TJP1
copd_control_copd,COPD,Differential intron excision,TXNL4A
copd_control_copd,COPD,Differential alternative splicing,ZNF256
copd_control_copd,COPD,Upregulated genes,COL11A1
copd_control_copd,COPD,Downregulated genes,RPS15AP6
copd_control_copd,COPD,Differential exon usage,MTMR3
copd_control_copd,COPD,Differential transcript expression,PRRC2B
copd_control_copd,COPD,Differential intron excision,APP
copd_control_copd,COPD,Differential alternative splicing,RPS9
copd_control_copd,COPD,Upregulated genes,AL357143.1
copd_control_copd,COPD,Downregulated genes,AL445686.1
copd_control_copd,COPD,Differential exon usage,BRD9
copd_control_copd,COPD,Differential transcript expression,JAK1
copd_control_copd,COPD,Differential intron excision,SELENOF
copd_control_copd,COPD,Differential alternative splicing,IGFLR1
copd_control_copd,COPD,Upregulated genes,AL590385.2
copd_control_copd,COPD,Downregulated genes,RN7SL180P
copd_control_copd,COPD,Differential exon usage,NPLOC4
copd_control_copd,COPD,Differential transcript expression,TNFAIP2
copd_control_copd,COPD,Differential intron excision,HSP90AB1
copd_control_copd,COPD,Differential alternative splicing,AC073611.1
copd_control_copd,COPD,Upregulated genes,AL021068.1
copd_control_copd,COPD,Downregulated genes,AC135803.1
copd_control_copd,COPD,Differential exon usage,PPP6R2
copd_control_copd,COPD,Differential transcript expression,EIF4A2
copd_control_copd,COPD,Differential intron excision,AP2S1
copd_control_copd,COPD,Differential alternative splicing,PFDN5
copd_control_copd,COPD,Upregulated genes,RIMKLBP2
copd_control_copd,COPD,Downregulated genes,LINC02474
copd_control_copd,COPD,Differential exon usage,EIF4G2
copd_control_copd,COPD,Differential transcript expression,LIMA1
copd_control_copd,COPD,Differential intron excision,AUP1
copd_control_copd,COPD,Differential alternative splicing,AC026412.1
copd_control_copd,COPD,Upregulated genes,EGLN1
copd_control_copd,COPD,Downregulated genes,NDUFAF2P1
copd_control_copd,COPD,Differential exon usage,ACSS2
copd_control_copd,COPD,Differential transcript expression,ARHGAP35
copd_control_copd,COPD,Differential intron excision,HMGN3
copd_control_copd,COPD,Differential alternative splicing,RNF181
copd_control_copd,COPD,Upregulated genes,EIPR1-IT1
copd_control_copd,COPD,Downregulated genes,AC012065.2
copd_control_copd,COPD,Differential exon usage,LRP5L
copd_control_copd,COPD,Differential transcript expression,ACTB
copd_control_copd,COPD,Differential intron excision,CLDND1
copd_control_copd,COPD,Differential alternative splicing,ZNF142
copd_control_copd,COPD,Upregulated genes,TCF23
copd_control_copd,COPD,Downregulated genes,RPL23AP32
copd_control_copd,COPD,Differential exon usage,HSPG2
copd_control_copd,COPD,Differential transcript expression,ADA2
copd_control_copd,COPD,Differential intron excision,PLAC8
copd_control_copd,COPD,Differential alternative splicing,PFDN1
copd_control_copd,COPD,Upregulated genes,FLJ31356
copd_control_copd,COPD,Downregulated genes,SNORD89
copd_control_copd,COPD,Differential exon usage,IFT122
copd_control_copd,COPD,Differential transcript expression,TPM3
copd_control_copd,COPD,Differential intron excision,METTL26
copd_control_copd,COPD,Differential alternative splicing,ZFAS1
copd_control_copd,COPD,Upregulated genes,AC017006.1
copd_control_copd,COPD,Downregulated genes,AC092620.1
copd_control_copd,COPD,Differential exon usage,DYNC1H1
copd_control_copd,COPD,Differential transcript expression,ANKHD1
copd_control_copd,COPD,Differential intron excision,DNAJC19
copd_control_copd,COPD,Differential alternative splicing,FLOT1
copd_control_copd,COPD,Upregulated genes,REL
copd_control_copd,COPD,Downregulated genes,THRB-IT1
copd_control_copd,COPD,Differential exon usage,DIAPH1
copd_control_copd,COPD,Differential transcript expression,STOM
copd_control_copd,COPD,Differential intron excision,NDUFB6
copd_control_copd,COPD,Differential alternative splicing,TMEM234
copd_control_copd,COPD,Upregulated genes,AC007878.1
copd_control_copd,COPD,Downregulated genes,AC097359.3
copd_control_copd,COPD,Differential exon usage,UBR4
copd_control_copd,COPD,Differential transcript expression,FRY
copd_control_copd,COPD,Differential intron excision,SELENBP1
copd_control_copd,COPD,Differential alternative splicing,SRP9
copd_control_copd,COPD,Upregulated genes,AC073046.1
copd_control_copd,COPD,Downregulated genes,SERBP1P3
copd_control_copd,COPD,Differential exon usage,RNF213
copd_control_copd,COPD,Differential transcript expression,RRBP1
copd_control_copd,COPD,Differential intron excision,ZFAS1
copd_control_copd,COPD,Differential alternative splicing,ZNF688
copd_control_copd,COPD,Upregulated genes,ANAPC1P2
copd_control_copd,COPD,Downregulated genes,AC072039.2
copd_control_copd,COPD,Differential exon usage,ATPAF1
copd_control_copd,COPD,Differential transcript expression,RPL29
copd_control_copd,COPD,Differential intron excision,EIF6
copd_control_copd,COPD,Differential alternative splicing,STOML1
copd_control_copd,COPD,Upregulated genes,IGKV6-21
copd_control_copd,COPD,Downregulated genes,RPL6P7
copd_control_copd,COPD,Differential exon usage,SESN1
copd_control_copd,COPD,Differential transcript expression,ASPH
copd_control_copd,COPD,Differential intron excision,GTF2A2
copd_control_copd,COPD,Differential alternative splicing,SLC25A16
copd_control_copd,COPD,Upregulated genes,IGKV2-29
copd_control_copd,COPD,Downregulated genes,AC007849.1
copd_control_copd,COPD,Differential exon usage,TNS2
copd_control_copd,COPD,Differential transcript expression,EEF1A1
copd_control_copd,COPD,Differential intron excision,EIF4A2
copd_control_copd,COPD,Differential alternative splicing,GUK1
copd_control_copd,COPD,Upregulated genes,AC092835.1
copd_control_copd,COPD,Downregulated genes,EEF1AKMT4
copd_control_copd,COPD,Differential exon usage,FBH1
copd_control_copd,COPD,Differential transcript expression,DDX5
copd_control_copd,COPD,Differential intron excision,BUD23
copd_control_copd,COPD,Differential alternative splicing,SARAF
copd_control_copd,COPD,Upregulated genes,AC007278.2
copd_control_copd,COPD,Downregulated genes,AC107294.1
copd_control_copd,COPD,Differential exon usage,HERC2
copd_control_copd,COPD,Differential transcript expression,ADAR
copd_control_copd,COPD,Differential intron excision,CASP1
copd_control_copd,COPD,Differential alternative splicing,SREBF1
copd_control_copd,COPD,Upregulated genes,RAPH1
copd_control_copd,COPD,Downregulated genes,FLJ42393
copd_control_copd,COPD,Differential exon usage,TSPAN17
copd_control_copd,COPD,Differential transcript expression,TNFAIP3
copd_control_copd,COPD,Differential intron excision,ATP5PB
copd_control_copd,COPD,Differential alternative splicing,ZNF706
copd_control_copd,COPD,Upregulated genes,AC007362.1
copd_control_copd,COPD,Downregulated genes,ATP5ME
copd_control_copd,COPD,Differential exon usage,ALKBH8
copd_control_copd,COPD,Differential transcript expression,PRKAA1
copd_control_copd,COPD,Differential intron excision,SNX5
copd_control_copd,COPD,Differential alternative splicing,PDXK
copd_control_copd,COPD,Upregulated genes,UGT1A6
copd_control_copd,COPD,Downregulated genes,AFAP1-AS1
copd_control_copd,COPD,Differential exon usage,NBEAL2
copd_control_copd,COPD,Differential transcript expression,MALAT1
copd_control_copd,COPD,Differential intron excision,RPL30
copd_control_copd,COPD,Differential alternative splicing,LAMP2
copd_control_copd,COPD,Upregulated genes,LINC01881
copd_control_copd,COPD,Downregulated genes,UGT2B15
copd_control_copd,COPD,Differential exon usage,ARAP1
copd_control_copd,COPD,Differential transcript expression,TCEA1
copd_control_copd,COPD,Differential intron excision,RNF181
copd_control_copd,COPD,Differential alternative splicing,DGKZ
copd_control_copd,COPD,Upregulated genes,SLC6A1-AS1
copd_control_copd,COPD,Downregulated genes,AC004057.1
copd_control_copd,COPD,Differential exon usage,GTF2I
copd_control_copd,COPD,Differential transcript expression,ASXL1
copd_control_copd,COPD,Differential intron excision,IRF1
copd_control_copd,COPD,Differential alternative splicing,CENATAC
copd_control_copd,COPD,Upregulated genes,ARL4AP4
copd_control_copd,COPD,Downregulated genes,MIR581
copd_control_copd,COPD,Differential exon usage,VPS39
copd_control_copd,COPD,Differential transcript expression,PRKAR1A
copd_control_copd,COPD,Differential intron excision,PRMT5
copd_control_copd,COPD,Differential alternative splicing,VPS29
copd_control_copd,COPD,Upregulated genes,DDTP1
copd_control_copd,COPD,Downregulated genes,AC026782.2
copd_control_copd,COPD,Differential exon usage,CLCN7
copd_control_copd,COPD,Differential transcript expression,CTSB
copd_control_copd,COPD,Differential intron excision,TYROBP
copd_control_copd,COPD,Differential alternative splicing,ARHGEF1
copd_control_copd,COPD,Upregulated genes,AC092053.2
copd_control_copd,COPD,Downregulated genes,RPL7P18
copd_control_copd,COPD,Differential exon usage,FBXO38
copd_control_copd,COPD,Differential transcript expression,NCOR2
copd_control_copd,COPD,Differential intron excision,CNPY3
copd_control_copd,COPD,Differential alternative splicing,CLK4
copd_control_copd,COPD,Upregulated genes,XIRP1
copd_control_copd,COPD,Downregulated genes,U91328.3
copd_control_copd,COPD,Differential exon usage,DDX3X
copd_control_copd,COPD,Differential transcript expression,GLG1
copd_control_copd,COPD,Differential intron excision,ATP1B3
copd_control_copd,COPD,Differential alternative splicing,POLDIP3
copd_control_copd,COPD,Upregulated genes,AC119424.1
copd_control_copd,COPD,Downregulated genes,AL355796.1
copd_control_copd,COPD,Differential exon usage,COL4A1
copd_control_copd,COPD,Differential transcript expression,EIF3L
copd_control_copd,COPD,Differential intron excision,SULT1A1
copd_control_copd,COPD,Differential alternative splicing,MANBA
copd_control_copd,COPD,Upregulated genes,SCAANT1
copd_control_copd,COPD,Downregulated genes,AL589674.1
copd_control_copd,COPD,Differential exon usage,KDM1B
copd_control_copd,COPD,Differential transcript expression,MTUS1
copd_control_copd,COPD,Differential intron excision,DBNL
copd_control_copd,COPD,Differential alternative splicing,GANC
copd_control_copd,COPD,Upregulated genes,PRICKLE2-AS1
copd_control_copd,COPD,Downregulated genes,AL023584.2
copd_control_copd,COPD,Differential exon usage,MCCC1
copd_control_copd,COPD,Differential transcript expression,TMEM30A
copd_control_copd,COPD,Differential intron excision,PTPN12
copd_control_copd,COPD,Differential alternative splicing,AKAP8L
copd_control_copd,COPD,Upregulated genes,AC026329.1
copd_control_copd,COPD,Downregulated genes,AC090498.1
copd_control_copd,COPD,Differential exon usage,TSC2
copd_control_copd,COPD,Differential transcript expression,CTNND1
copd_control_copd,COPD,Differential intron excision,LENG8
copd_control_copd,COPD,Differential alternative splicing,TP53TG1
copd_control_copd,COPD,Upregulated genes,AC092691.1
copd_control_copd,COPD,Downregulated genes,LINC00244
copd_control_copd,COPD,Differential exon usage,NUDCD3
copd_control_copd,COPD,Differential transcript expression,RALGAPB
copd_control_copd,COPD,Differential intron excision,NAPA
copd_control_copd,COPD,Differential alternative splicing,VPS51
copd_control_copd,COPD,Upregulated genes,RPS26P21
copd_control_copd,COPD,Downregulated genes,PSME2P5
copd_control_copd,COPD,Differential exon usage,IFT172
copd_control_copd,COPD,Differential transcript expression,SAMHD1
copd_control_copd,COPD,Differential intron excision,NOP58
copd_control_copd,COPD,Differential alternative splicing,TLR2
copd_control_copd,COPD,Upregulated genes,Y_RNA
copd_control_copd,COPD,Downregulated genes,AC103769.1
copd_control_copd,COPD,Differential exon usage,TNXB
copd_control_copd,COPD,Differential transcript expression,ZKSCAN1
copd_control_copd,COPD,Differential intron excision,GLIPR2
copd_control_copd,COPD,Differential alternative splicing,CTNND1
copd_control_copd,COPD,Upregulated genes,PLCH1-AS1
copd_control_copd,COPD,Downregulated genes,AC113143.1
copd_control_copd,COPD,Differential exon usage,ACADVL
copd_control_copd,COPD,Differential transcript expression,CAMSAP1
copd_control_copd,COPD,Differential intron excision,HSPB11
copd_control_copd,COPD,Differential alternative splicing,RABGAP1L
copd_control_copd,COPD,Upregulated genes,HMGN1P8
copd_control_copd,COPD,Downregulated genes,ASAP1-IT2
copd_control_copd,COPD,Differential exon usage,AGAP3
copd_control_copd,COPD,Differential transcript expression,ANXA3
copd_control_copd,COPD,Differential intron excision,RAB21
copd_control_copd,COPD,Differential alternative splicing,SRSF11
copd_control_copd,COPD,Upregulated genes,AC072022.1
copd_control_copd,COPD,Downregulated genes,AC046195.2
copd_control_copd,COPD,Differential exon usage,ATG16L2
copd_control_copd,COPD,Differential transcript expression,ELOA
copd_control_copd,COPD,Differential intron excision,PARK7
copd_control_copd,COPD,Differential alternative splicing,CAMLG
copd_control_copd,COPD,Upregulated genes,AC072022.2
copd_control_copd,COPD,Downregulated genes,LY6H
copd_control_copd,COPD,Differential exon usage,MFSD2A
copd_control_copd,COPD,Differential transcript expression,HSP90AA1
copd_control_copd,COPD,Differential intron excision,GOSR2
copd_control_copd,COPD,Differential alternative splicing,RPAIN
copd_control_copd,COPD,Upregulated genes,MTAPP2
copd_control_copd,COPD,Downregulated genes,ANXA2P2
copd_control_copd,COPD,Differential exon usage,TCF7L2
copd_control_copd,COPD,Differential transcript expression,CSDE1
copd_control_copd,COPD,Differential intron excision,ASAH1
copd_control_copd,COPD,Differential alternative splicing,TRNAU1AP
copd_control_copd,COPD,Upregulated genes,RN7SKP296
copd_control_copd,COPD,Downregulated genes,RNU2-5P
copd_control_copd,COPD,Differential exon usage,ATP6V0A2
copd_control_copd,COPD,Differential transcript expression,DHCR24
copd_control_copd,COPD,Differential intron excision,CCDC58
copd_control_copd,COPD,Differential alternative splicing,RABL2B
copd_control_copd,COPD,Upregulated genes,RNU7-18P
copd_control_copd,COPD,Downregulated genes,RNU6ATAC39P
copd_control_copd,COPD,Differential exon usage,GALC
copd_control_copd,COPD,Differential transcript expression,SEL1L3
copd_control_copd,COPD,Differential intron excision,NUBP1
copd_control_copd,COPD,Differential alternative splicing,TMEM53
copd_control_copd,COPD,Upregulated genes,AC092436.3
copd_control_copd,COPD,Downregulated genes,AL158211.1
copd_control_copd,COPD,Differential exon usage,ZNF706
copd_control_copd,COPD,Differential transcript expression,ATP6AP2
copd_control_copd,COPD,Differential intron excision,RBX1
copd_control_copd,COPD,Differential alternative splicing,ROGDI
copd_control_copd,COPD,Upregulated genes,CCKAR
copd_control_copd,COPD,Downregulated genes,AP000438.1
copd_control_copd,COPD,Differential exon usage,COLEC12
copd_control_copd,COPD,Differential transcript expression,KPNA4
copd_control_copd,COPD,Differential intron excision,REEP5
copd_control_copd,COPD,Differential alternative splicing,TRIM14
copd_control_copd,COPD,Upregulated genes,AC111197.1
copd_control_copd,COPD,Downregulated genes,AP003385.4
copd_control_copd,COPD,Differential exon usage,PTMA
copd_control_copd,COPD,Differential transcript expression,SNAP23
copd_control_copd,COPD,Differential intron excision,ETHE1
copd_control_copd,COPD,Differential alternative splicing,PHKB
copd_control_copd,COPD,Upregulated genes,AC114781.1
copd_control_copd,COPD,Downregulated genes,AP000462.3
copd_control_copd,COPD,Differential exon usage,MAP7D3
copd_control_copd,COPD,Differential transcript expression,CAST
copd_control_copd,COPD,Differential intron excision,EIF4G2
copd_control_copd,COPD,Differential alternative splicing,PAK4
copd_control_copd,COPD,Upregulated genes,TNIP3
copd_control_copd,COPD,Downregulated genes,AC092794.2
copd_control_copd,COPD,Differential exon usage,ATP2A3
copd_control_copd,COPD,Differential transcript expression,PTP4A1
copd_control_copd,COPD,Differential intron excision,RPN2
copd_control_copd,COPD,Differential alternative splicing,POFUT2
copd_control_copd,COPD,Upregulated genes,FGA
copd_control_copd,COPD,Downregulated genes,AC125611.1
copd_control_copd,COPD,Differential exon usage,MOB1A
copd_control_copd,COPD,Differential transcript expression,SCARB2
copd_control_copd,COPD,Differential intron excision,PPP4C
copd_control_copd,COPD,Differential alternative splicing,FAM204A
copd_control_copd,COPD,Upregulated genes,FGG
copd_control_copd,COPD,Downregulated genes,AGAP2-AS1
copd_control_copd,COPD,Differential exon usage,CLK4
copd_control_copd,COPD,Differential transcript expression,COL4A1
copd_control_copd,COPD,Differential intron excision,TNFRSF1A
copd_control_copd,COPD,Differential alternative splicing,PSMA3-AS1
copd_control_copd,COPD,Upregulated genes,RXFP3
copd_control_copd,COPD,Downregulated genes,MRS2P2
copd_control_copd,COPD,Differential exon usage,NOL3
copd_control_copd,COPD,Differential transcript expression,RPL27A
copd_control_copd,COPD,Differential intron excision,APOC1
copd_control_copd,COPD,Differential alternative splicing,AKIP1
copd_control_copd,COPD,Upregulated genes,AC008957.3
