comparison_id,comparison_name,gene_set,gene_name
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,MIR6859-1
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,MTND1P23
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,CDH11
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,VEGFA
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,LPP
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,UBA1
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,AL627309.6
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,MTND2P28
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,TGFBR3
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,PTMS
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,APP
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,CDC42EP1
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,AL627309.7
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,MTCO1P12
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,TFPI
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,DST
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,PRRC2A
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,SEC23B
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,AL669831.1
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,MTCO2P12
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,ARHGAP5
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,PRKCSH
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,MT1L
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,TMEM230
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,LINC00115
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,MTATP6P1
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,TRPC6
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,COL6A2
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,UBA1
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,TEAD2
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,AL645608.6
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,MTCO3P12
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,C2CD2
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,APLP2
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,ABR
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,SAMD4B
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,AL645608.2
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,AL669831.4
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,COL6A3
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,MDM4
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,GAS6
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,TBCB
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,SAMD11
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,LINC01128
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,FAM3C
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,PLXNB2
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,SMG1P3
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,KANK2
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,KLHL17
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,AC242022.1
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,OLFML2B
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,BTBD9
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,PCBP2
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,BSG
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,PLEKHN1
covid_europe_covid_19_control,COVID-Austria,Downregulated genes,TPRG1L
covid_europe_covid_19_control,COVID-Austria,Differential exon usage,CACNA1H
covid_europe_covid_19_control,COVID-Austria,Differential transcript expression,TPT1
covid_europe_covid_19_control,COVID-Austria,Differential intron excision,FKBP8
covid_europe_covid_19_control,COVID-Austria,Differential alternative splicing,TCF4
covid_europe_covid_19_control,COVID-Austria,Upregulated genes,PERM1
