comparison_id,comparison_name,gene_set,gene_name
sars_sars12_control,SARS12,Upregulated genes,AL034417.4
sars_sars12_control,SARS12,Downregulated genes,UBXN10
sars_sars12_control,SARS12,Differential exon usage,SELENOW
sars_sars12_control,SARS12,Differential transcript expression,SERPINB2
sars_sars12_control,SARS12,Differential intron excision,GRB7
sars_sars12_control,SARS12,Differential alternative splicing,CYP24A1
sars_sars12_control,SARS12,Upregulated genes,SH2D5
sars_sars12_control,SARS12,Downregulated genes,ID3
sars_sars12_control,SARS12,Differential exon usage,CALU
sars_sars12_control,SARS12,Differential transcript expression,CYP1B1
sars_sars12_control,SARS12,Differential intron excision,CYP24A1
sars_sars12_control,SARS12,Differential alternative splicing,GRB7
sars_sars12_control,SARS12,Upregulated genes,HTR1D
sars_sars12_control,SARS12,Downregulated genes,VTCN1
sars_sars12_control,SARS12,Differential exon usage,U2SURP
sars_sars12_control,SARS12,Differential transcript expression,ARRDC3
sars_sars12_control,SARS12,Differential intron excision,NPIPP1
sars_sars12_control,SARS12,Differential alternative splicing,SMARCA4
sars_sars12_control,SARS12,Upregulated genes,ZNF436
sars_sars12_control,SARS12,Downregulated genes,MUC1
sars_sars12_control,SARS12,Differential exon usage,DAZAP1
sars_sars12_control,SARS12,Differential transcript expression,SELENOW
sars_sars12_control,SARS12,Differential intron excision,HLA-A
sars_sars12_control,SARS12,Differential alternative splicing,SLC25A36
sars_sars12_control,SARS12,Upregulated genes,RSRP1
sars_sars12_control,SARS12,Downregulated genes,AL356276.1
sars_sars12_control,SARS12,Differential exon usage,FAR1
sars_sars12_control,SARS12,Differential intron excision,FHL2
sars_sars12_control,SARS12,Differential alternative splicing,GGNBP2
sars_sars12_control,SARS12,Upregulated genes,IFI44L
sars_sars12_control,SARS12,Downregulated genes,PPFIA4
sars_sars12_control,SARS12,Differential exon usage,SREK1
sars_sars12_control,SARS12,Differential intron excision,SAT1
sars_sars12_control,SARS12,Differential alternative splicing,C1QTNF6
sars_sars12_control,SARS12,Upregulated genes,S100A2
sars_sars12_control,SARS12,Downregulated genes,SLC26A9
sars_sars12_control,SARS12,Differential exon usage,CHORDC1
sars_sars12_control,SARS12,Differential intron excision,ZNF207
sars_sars12_control,SARS12,Differential alternative splicing,CUTC
sars_sars12_control,SARS12,Upregulated genes,HSPA6
sars_sars12_control,SARS12,Downregulated genes,PIGR
sars_sars12_control,SARS12,Differential exon usage,CYB5A
sars_sars12_control,SARS12,Differential intron excision,SLMAP
sars_sars12_control,SARS12,Differential alternative splicing,BCLAF1
sars_sars12_control,SARS12,Upregulated genes,LYST
sars_sars12_control,SARS12,Downregulated genes,CYP1B1
sars_sars12_control,SARS12,Differential exon usage,DHX36
sars_sars12_control,SARS12,Differential intron excision,THRAP3
sars_sars12_control,SARS12,Differential alternative splicing,C12orf73
sars_sars12_control,SARS12,Upregulated genes,RSAD2
sars_sars12_control,SARS12,Downregulated genes,PDK1
sars_sars12_control,SARS12,Differential exon usage,THRAP3
sars_sars12_control,SARS12,Differential intron excision,AP1S2
sars_sars12_control,SARS12,Differential alternative splicing,ZC3H4
sars_sars12_control,SARS12,Upregulated genes,LPIN1
sars_sars12_control,SARS12,Downregulated genes,ERBB4
sars_sars12_control,SARS12,Differential exon usage,LTBP3
sars_sars12_control,SARS12,Differential intron excision,TBRG4
sars_sars12_control,SARS12,Differential alternative splicing,POLL
sars_sars12_control,SARS12,Upregulated genes,PAPOLG
sars_sars12_control,SARS12,Downregulated genes,CYP27A1
sars_sars12_control,SARS12,Differential exon usage,LCN2
sars_sars12_control,SARS12,Differential intron excision,DYNC1H1
sars_sars12_control,SARS12,Differential alternative splicing,RIMS2
sars_sars12_control,SARS12,Upregulated genes,ZNF2
