comparison_id,comparison_name,gene_set,gene_name
liver_diseases_normal_advanced_hcc,Advanced_HCC,Upregulated genes,MTCO2P12
liver_diseases_normal_advanced_hcc,Advanced_HCC,Downregulated genes,AP006222.2
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential exon usage,NCOR1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential transcript expression,FN1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential intron excision,MT1E
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential alternative splicing,TAZ
liver_diseases_normal_advanced_hcc,Advanced_HCC,Upregulated genes,MTATP6P1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Downregulated genes,TNFRSF4
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential exon usage,SYNE2
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential transcript expression,GPC3
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential intron excision,SYNE2
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential alternative splicing,CYP4F3
liver_diseases_normal_advanced_hcc,Advanced_HCC,Upregulated genes,TAS1R3
liver_diseases_normal_advanced_hcc,Advanced_HCC,Downregulated genes,ANKRD65
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential exon usage,NTHL1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential transcript expression,NNMT
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential intron excision,C2
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential alternative splicing,AFMID
liver_diseases_normal_advanced_hcc,Advanced_HCC,Upregulated genes,ATAD3C
liver_diseases_normal_advanced_hcc,Advanced_HCC,Downregulated genes,GABRD
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential exon usage,CYP17A1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential transcript expression,CTSB
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential intron excision,CHID1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential alternative splicing,PTRH2
liver_diseases_normal_advanced_hcc,Advanced_HCC,Upregulated genes,CFAP74
liver_diseases_normal_advanced_hcc,Advanced_HCC,Downregulated genes,TP73
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential exon usage,GRAMD1C
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential transcript expression,CLEC4M
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential intron excision,MICU1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential alternative splicing,ABCC6
liver_diseases_normal_advanced_hcc,Advanced_HCC,Upregulated genes,SMIM1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Downregulated genes,LINC01134
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential exon usage,HPS3
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential transcript expression,CLEC1B
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential intron excision,FN1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential alternative splicing,PCSK6
liver_diseases_normal_advanced_hcc,Advanced_HCC,Upregulated genes,ERRFI1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Downregulated genes,HES2
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential exon usage,SERPINA1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential transcript expression,CFHR3
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential intron excision,GK
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential alternative splicing,HPS1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Upregulated genes,LINC01714
liver_diseases_normal_advanced_hcc,Advanced_HCC,Downregulated genes,RPL7P7
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential exon usage,TMEM150B
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential transcript expression,MT1G
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential intron excision,NAIP
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential alternative splicing,LDHB
liver_diseases_normal_advanced_hcc,Advanced_HCC,Upregulated genes,MASP2
liver_diseases_normal_advanced_hcc,Advanced_HCC,Downregulated genes,SLC2A5
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential exon usage,CSAD
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential transcript expression,VIPR1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential intron excision,NBPF14
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential alternative splicing,EXOC7
liver_diseases_normal_advanced_hcc,Advanced_HCC,Upregulated genes,AL021155.4
liver_diseases_normal_advanced_hcc,Advanced_HCC,Downregulated genes,MIR34AHG
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential exon usage,C12orf73
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential transcript expression,RRM2
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential intron excision,BDH1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential alternative splicing,CFHR2
liver_diseases_normal_advanced_hcc,Advanced_HCC,Upregulated genes,AC254633.1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Downregulated genes,AL928921.1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential exon usage,NR3C1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential transcript expression,DEPDC1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential intron excision,PPARGC1A
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential alternative splicing,ALB
liver_diseases_normal_advanced_hcc,Advanced_HCC,Upregulated genes,KAZN
liver_diseases_normal_advanced_hcc,Advanced_HCC,Downregulated genes,AL954705.1
liver_diseases_normal_advanced_hcc,Advanced_HCC,Differential exon usage,FAM13A
