comparison_id,comparison_name,gene_set,gene_name
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,FNDC10
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,AL732372.2
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,PLEK
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,DDX3X
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,CD40
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,MIR4435-2HG
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,AL691432.4
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,AL669831.1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,RNASET2
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,INSIG1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,CSF1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,NF1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,AL031282.1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,LINC01128
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,MSANTD3
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,ATP13A3
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,MIR4435-2HG
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,CDKN1A
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,TPRG1L
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,AL645608.7
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,CFLAR
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,CXCL8
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,PLAUR
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,TPRG1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,DFFB
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,HES4
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,YLPM1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,ATP2B1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,CDKN1A
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,EIF4A2
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,ICMT
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,AL390719.1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,GLS
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,RASSF5
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,FLNA
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,IL1RN
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,TNFRSF25
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,AL645608.8
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,RAPGEF1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,IL1B
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,PSAP
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,CYTOR
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,ZBTB48
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,RNF223
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,CSF1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,SPAG9
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,IFI16
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,PDXK
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,THAP3
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,TTLL10
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,LRIG2
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,NR4A1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,CAP1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,RAPGEF1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,PER3
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,TNFRSF18
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,PKM
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,WDR1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,SPINT2
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,SDCBP
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,RERE-AS1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,TNFRSF4
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,FKBP5
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,CCL3L3
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,ATP1A1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,SH2D3C
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,TMEM201
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,MXRA8
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,ZEB2
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,ACTR2
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,INSIG1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,CD44
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,PIK3CD-AS2
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,TMEM52
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,DPH1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,ACTN1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,CD44
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,PICALM
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,C1orf127
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,AL139246.2
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,PTTG1IP
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,CSDE1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,PPIF
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,MSANTD3
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,AGTRAP
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,GPR153
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,CIRBP
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,SIGLEC10
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,FOSL2
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,SPG7
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,KIAA2013
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,Z98884.2
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,TASOR
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,CNOT1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,CCL22
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,GLS
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,MIIP
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,TNFRSF9
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,SLC25A36
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,DDX5
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,U2AF1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,IVNS1ABP
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,DHRS3
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,AL034417.4
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,PLA2G6
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,CREBBP
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,NFKBIE
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,TSSC4
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,ANO7L1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,ERRFI1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,DENND1B
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,TNC
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential intron excision,PIK3R5
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential alternative splicing,CALU
tuberculosis_live_72_ni_72,MTB_live72_NI72,Upregulated genes,AL109627.1
tuberculosis_live_72_ni_72,MTB_live72_NI72,Downregulated genes,GPR157
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential exon usage,N4BP2L2
tuberculosis_live_72_ni_72,MTB_live72_NI72,Differential transcript expression,TRAF1
