comparison_id,comparison_name,gene_set,gene_name
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,C1orf127
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,CFAP74
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,PHIP
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,DDX3X
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,RPS3
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,PHACTR1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,C1QA
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,PADI2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,ZFHX3
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,BCL6
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,RPLP0
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,WIPF1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,C1QC
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,LINC00624
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,PRRC2C
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,CNOT1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,ABR
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,TBC1D5
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,C1QB
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,PLA2G4A
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,LYST
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,SIGLEC10
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,MFSD12
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,GATAD2A
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,ID3
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,ZNF281
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,ZFR
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,ZBTB38
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,CASP1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,TTLL11
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,STMN1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,AL606489.1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,BMPR2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,CD36
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,EEF1A1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,ELP2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,AZIN2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,CTSE
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,LMLN
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,CREBBP
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,ITGB2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,CDKN1A
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,TFAP2E
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,EGLN1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,ITPR2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,G3BP2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,CLEC10A
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,LINC00339
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,TMEM125
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,LYST
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,ECPAS
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,CSDE1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,ATP6AP2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,RHBDD1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,TMEM53
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,SPTBN1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,ZNF585A
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,ATRX
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,TPM3
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,ANKRD16
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,WLS
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,REL
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,ZFYVE16
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,APP
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,YWHAZ
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,MEAK7
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,HHLA3
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,USP34
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,JAK2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,SON
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,FCER1A
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,AC015712.2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,ELAPOR1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,AC073046.1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,ZNF264
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,PPFIBP1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,RPL11
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,NEK1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,OLFML3
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,ANKRD36B
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,BCOR
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,ATP2B1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,KIFC2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,CYTOR
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,S100A9
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,AC092645.2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,KMT2A
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,WDR1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,WDFY4
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,TPM2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,S100A4
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,C2orf88
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,LINC00342
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,XPO1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,C1QC
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,NSRP1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,SEMA4A
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,AC012459.1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,SETX
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,EFCAB14
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,PSTPIP1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,ARID4B
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,CADM3
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,CFLAR-AS1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,VPS13D
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,JAK1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,SPN
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,NRIP1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,ACKR1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,NBEAL1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,CREB5
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,PPT1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,FLNA
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,ZNF618
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,HSPA6
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,KLF7
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,SLC20A1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,PABPC1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,MICAL1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,PLEKHM1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,FCGR2C
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,USP37
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,YLPM1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,ATP13A3
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,SEC11A
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,AP003108.2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,HSPA7
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,PDCD1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,ZNF652
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,CD63
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,FGD2
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,ERMP1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Upregulated genes,FCGR2B
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Downregulated genes,TMPPE
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential exon usage,LATS1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential transcript expression,RBM39
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential intron excision,SAT1
tuberculosis_hi_72_ni_72,MTB_hi72_NI72,Differential alternative splicing,SNRNP48
