comparison_id,comparison_name,gene_set,gene_name
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Upregulated genes,ISG15
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Downregulated genes,AL627309.6
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential exon usage,DNAJA4
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential transcript expression,MTERF4
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential intron excision,GBP2
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential alternative splicing,RBX1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Upregulated genes,AGRN
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Downregulated genes,TPRG1L
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential exon usage,RBBP6
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential transcript expression,ETV7
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential intron excision,AC018755.2
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential alternative splicing,GBAP1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Upregulated genes,FBXO2
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Downregulated genes,SMIM1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential exon usage,RSAD2
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential transcript expression,MS4A1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential intron excision,OAS1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential alternative splicing,NPC2
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Upregulated genes,FBXO6
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Downregulated genes,DDI2
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential exon usage,HECTD4
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential transcript expression,SETD4
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential intron excision,RPL35A
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential alternative splicing,RPLP0
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Upregulated genes,MAN1C1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Downregulated genes,AL137127.1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential exon usage,ZNF778
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential transcript expression,LY6E
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential intron excision,ARHGAP25
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential alternative splicing,RPS24
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Upregulated genes,LINC02574
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Downregulated genes,UBXN10
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential exon usage,BBS7
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential transcript expression,OR52K1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential intron excision,IRF3
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential alternative splicing,UBE2K
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Upregulated genes,IFI6
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Downregulated genes,PINK1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential exon usage,GCA
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential transcript expression,SLC11A1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential intron excision,CTDSP1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential alternative splicing,HBP1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Upregulated genes,AL445490.1
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Downregulated genes,ALPL
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential exon usage,GALNT10
ards_ards_bmt_sepsis_bmt,ARDS-BMT-Sepsis,Differential intron excision,UBA52
