comparison_id,comparison_name,gene_set,gene_name
tobacco_smoke_cse_drug_control_drug,CSE-drug,Upregulated genes,PER3
tobacco_smoke_cse_drug_control_drug,CSE-drug,Downregulated genes,SAMD11
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential exon usage,LRRC41
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential transcript expression,CYP1A1
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential intron excision,TNFRSF1A
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential alternative splicing,KRT15
tobacco_smoke_cse_drug_control_drug,CSE-drug,Upregulated genes,UBXN10
tobacco_smoke_cse_drug_control_drug,CSE-drug,Downregulated genes,MEGF6
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential exon usage,HSD11B2
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential transcript expression,SERPINA1
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential intron excision,CCND3
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential alternative splicing,DNAJC9-AS1
tobacco_smoke_cse_drug_control_drug,CSE-drug,Upregulated genes,SH2D5
tobacco_smoke_cse_drug_control_drug,CSE-drug,Downregulated genes,SLC25A34
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential exon usage,CCND3
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential transcript expression,THSD4
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential intron excision,SNHG32
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential alternative splicing,MYO6
tobacco_smoke_cse_drug_control_drug,CSE-drug,Upregulated genes,E2F2
tobacco_smoke_cse_drug_control_drug,CSE-drug,Downregulated genes,FAM131C
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential exon usage,KRT15
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential transcript expression,MTR
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential intron excision,PLEC
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential alternative splicing,SNRNP70
tobacco_smoke_cse_drug_control_drug,CSE-drug,Upregulated genes,LCK
tobacco_smoke_cse_drug_control_drug,CSE-drug,Downregulated genes,SLC30A2
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential exon usage,UBC
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential transcript expression,CAST
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential intron excision,LRRC41
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential alternative splicing,NACA
tobacco_smoke_cse_drug_control_drug,CSE-drug,Upregulated genes,FNDC5
tobacco_smoke_cse_drug_control_drug,CSE-drug,Downregulated genes,TENT5B
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential exon usage,GPNMB
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential transcript expression,DIDO1
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential intron excision,RTN4
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential alternative splicing,GARNL3
tobacco_smoke_cse_drug_control_drug,CSE-drug,Upregulated genes,CLSPN
tobacco_smoke_cse_drug_control_drug,CSE-drug,Downregulated genes,SH3D21
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential exon usage,FAM13A
tobacco_smoke_cse_drug_control_drug,CSE-drug,Differential transcript expression,NAV2
