comparison_id,comparison_name,gene_set,gene_name
influenza_inf_48_control,Influenza_48,Upregulated genes,ISG15
influenza_inf_48_control,Influenza_48,Downregulated genes,SELENBP1
influenza_inf_48_control,Influenza_48,Differential exon usage,APOL1
influenza_inf_48_control,Influenza_48,Differential transcript expression,STAT1
influenza_inf_48_control,Influenza_48,Differential intron excision,NT5C3A
influenza_inf_48_control,Influenza_48,Differential alternative splicing,WARS1
influenza_inf_48_control,Influenza_48,Upregulated genes,FBXO6
influenza_inf_48_control,Influenza_48,Downregulated genes,PLEKHA6
influenza_inf_48_control,Influenza_48,Differential exon usage,STAT1
influenza_inf_48_control,Influenza_48,Differential transcript expression,ADAR
influenza_inf_48_control,Influenza_48,Differential intron excision,HNRNPC
influenza_inf_48_control,Influenza_48,Differential alternative splicing,SPATS2L
influenza_inf_48_control,Influenza_48,Upregulated genes,ANO7L1
influenza_inf_48_control,Influenza_48,Downregulated genes,OBSCN
influenza_inf_48_control,Influenza_48,Differential exon usage,SPATS2L
influenza_inf_48_control,Influenza_48,Differential transcript expression,ZBP1
influenza_inf_48_control,Influenza_48,Differential intron excision,TPD52L1
influenza_inf_48_control,Influenza_48,Differential alternative splicing,CISD1
influenza_inf_48_control,Influenza_48,Upregulated genes,ALPL
influenza_inf_48_control,Influenza_48,Downregulated genes,CAPN13
influenza_inf_48_control,Influenza_48,Differential exon usage,RIMS2
influenza_inf_48_control,Influenza_48,Differential transcript expression,IRF7
influenza_inf_48_control,Influenza_48,Differential intron excision,OPTN
influenza_inf_48_control,Influenza_48,Differential alternative splicing,ASPH
influenza_inf_48_control,Influenza_48,Upregulated genes,IL22RA1
influenza_inf_48_control,Influenza_48,Downregulated genes,PAIP2B
influenza_inf_48_control,Influenza_48,Differential exon usage,LAMA3
influenza_inf_48_control,Influenza_48,Differential transcript expression,RSAD2
influenza_inf_48_control,Influenza_48,Differential intron excision,FXYD3
influenza_inf_48_control,Influenza_48,Differential alternative splicing,CASP8
influenza_inf_48_control,Influenza_48,Upregulated genes,CRYBG2
influenza_inf_48_control,Influenza_48,Downregulated genes,PRRT3
influenza_inf_48_control,Influenza_48,Differential exon usage,RABGAP1L
influenza_inf_48_control,Influenza_48,Differential transcript expression,WARS1
influenza_inf_48_control,Influenza_48,Differential intron excision,KRT15
influenza_inf_48_control,Influenza_48,Differential alternative splicing,YPEL5
influenza_inf_48_control,Influenza_48,Upregulated genes,IFI6
influenza_inf_48_control,Influenza_48,Downregulated genes,GXYLT2
influenza_inf_48_control,Influenza_48,Differential exon usage,PLSCR1
influenza_inf_48_control,Influenza_48,Differential transcript expression,CMPK2
influenza_inf_48_control,Influenza_48,Differential intron excision,HNRNPA2B1
influenza_inf_48_control,Influenza_48,Differential alternative splicing,HNRNPC
influenza_inf_48_control,Influenza_48,Upregulated genes,AL445490.1
influenza_inf_48_control,Influenza_48,Downregulated genes,ATP13A5
influenza_inf_48_control,Influenza_48,Differential exon usage,GCA
influenza_inf_48_control,Influenza_48,Differential transcript expression,SAMD9L
influenza_inf_48_control,Influenza_48,Differential intron excision,GBP3
influenza_inf_48_control,Influenza_48,Differential alternative splicing,HNRNPDL
influenza_inf_48_control,Influenza_48,Upregulated genes,THEMIS2
influenza_inf_48_control,Influenza_48,Downregulated genes,CNGA1
influenza_inf_48_control,Influenza_48,Differential exon usage,TPM3
influenza_inf_48_control,Influenza_48,Differential transcript expression,IFI6
influenza_inf_48_control,Influenza_48,Differential intron excision,UGT1A6
influenza_inf_48_control,Influenza_48,Differential alternative splicing,NSFL1C
influenza_inf_48_control,Influenza_48,Upregulated genes,PHACTR4
influenza_inf_48_control,Influenza_48,Downregulated genes,SELENOP
influenza_inf_48_control,Influenza_48,Differential exon usage,CXCL8
influenza_inf_48_control,Influenza_48,Differential transcript expression,IFIT2
influenza_inf_48_control,Influenza_48,Differential intron excision,HNRNPDL
influenza_inf_48_control,Influenza_48,Differential alternative splicing,LINC00958
influenza_inf_48_control,Influenza_48,Upregulated genes,MARCKSL1
influenza_inf_48_control,Influenza_48,Downregulated genes,PCDHGA6
influenza_inf_48_control,Influenza_48,Differential exon usage,OSER1
influenza_inf_48_control,Influenza_48,Differential transcript expression,MX1
influenza_inf_48_control,Influenza_48,Differential intron excision,GPBP1
influenza_inf_48_control,Influenza_48,Differential alternative splicing,PIP5K1A
influenza_inf_48_control,Influenza_48,Upregulated genes,MOB3C
influenza_inf_48_control,Influenza_48,Downregulated genes,SLC26A2
influenza_inf_48_control,Influenza_48,Differential exon usage,ZC3HAV1
influenza_inf_48_control,Influenza_48,Differential transcript expression,IFIT3
influenza_inf_48_control,Influenza_48,Differential intron excision,SRSF5
influenza_inf_48_control,Influenza_48,Differential alternative splicing,BCAP29
influenza_inf_48_control,Influenza_48,Upregulated genes,CYP2J2
influenza_inf_48_control,Influenza_48,Downregulated genes,CD36
influenza_inf_48_control,Influenza_48,Differential exon usage,NT5C3A
influenza_inf_48_control,Influenza_48,Differential transcript expression,MX2
influenza_inf_48_control,Influenza_48,Differential intron excision,HLA-B
influenza_inf_48_control,Influenza_48,Differential alternative splicing,DDX60L
influenza_inf_48_control,Influenza_48,Upregulated genes,NEXN
influenza_inf_48_control,Influenza_48,Downregulated genes,STAG3
influenza_inf_48_control,Influenza_48,Differential exon usage,TRIM22
influenza_inf_48_control,Influenza_48,Differential transcript expression,IFI27
influenza_inf_48_control,Influenza_48,Differential intron excision,APOBEC3D
influenza_inf_48_control,Influenza_48,Differential alternative splicing,LINC00265
influenza_inf_48_control,Influenza_48,Upregulated genes,IFI44L
influenza_inf_48_control,Influenza_48,Downregulated genes,AKR1B10
influenza_inf_48_control,Influenza_48,Differential exon usage,BCL2L13
influenza_inf_48_control,Influenza_48,Differential transcript expression,NT5C3A
influenza_inf_48_control,Influenza_48,Differential intron excision,BTG3
influenza_inf_48_control,Influenza_48,Differential alternative splicing,GABRP
influenza_inf_48_control,Influenza_48,Upregulated genes,IFI44
influenza_inf_48_control,Influenza_48,Downregulated genes,CLN8
influenza_inf_48_control,Influenza_48,Differential exon usage,SORL1
influenza_inf_48_control,Influenza_48,Differential transcript expression,IFI44L
influenza_inf_48_control,Influenza_48,Differential intron excision,PI4KB
