comparison_id,comparison_name,gene_set,gene_name
tobacco_smoke_control_drug_tse_drug,TSE-drug,Upregulated genes,TP73
tobacco_smoke_control_drug_tse_drug,TSE-drug,Downregulated genes,SAMD11
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential exon usage,CCND3
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential transcript expression,CYP1A1
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential intron excision,CCND3
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential alternative splicing,KRT15
tobacco_smoke_control_drug_tse_drug,TSE-drug,Upregulated genes,ACOT7
tobacco_smoke_control_drug_tse_drug,TSE-drug,Downregulated genes,TTLL10
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential exon usage,HSD11B2
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential transcript expression,THSD4
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential intron excision,DNAJC15
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential alternative splicing,DCPS
tobacco_smoke_control_drug_tse_drug,TSE-drug,Upregulated genes,PER3
tobacco_smoke_control_drug_tse_drug,TSE-drug,Downregulated genes,LINC01786
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential exon usage,LRRC41
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential transcript expression,CYP4B1
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential intron excision,TNFRSF1A
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential alternative splicing,RCBTB2
tobacco_smoke_control_drug_tse_drug,TSE-drug,Upregulated genes,PADI2
tobacco_smoke_control_drug_tse_drug,TSE-drug,Downregulated genes,SCNN1D
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential exon usage,UNG
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential transcript expression,CTNND1
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential intron excision,CD59
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential alternative splicing,MYO6
tobacco_smoke_control_drug_tse_drug,TSE-drug,Upregulated genes,IFFO2
tobacco_smoke_control_drug_tse_drug,TSE-drug,Downregulated genes,PLCH2
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential exon usage,FAM13A
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential transcript expression,ZNF276
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential intron excision,TSC22D3
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential alternative splicing,CCDC50
tobacco_smoke_control_drug_tse_drug,TSE-drug,Upregulated genes,UBXN10
tobacco_smoke_control_drug_tse_drug,TSE-drug,Downregulated genes,AL139246.2
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential exon usage,LAMA5
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential transcript expression,SLCO2B1
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential intron excision,LRRC41
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential alternative splicing,SNRNP70
tobacco_smoke_control_drug_tse_drug,TSE-drug,Upregulated genes,SH2D5
tobacco_smoke_control_drug_tse_drug,TSE-drug,Downregulated genes,AL139246.3
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential exon usage,UBC
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential transcript expression,KIF16B
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential intron excision,C11orf54
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential alternative splicing,SLC22A20P
tobacco_smoke_control_drug_tse_drug,TSE-drug,Upregulated genes,E2F2
tobacco_smoke_control_drug_tse_drug,TSE-drug,Downregulated genes,MMEL1
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential exon usage,HNRNPA2B1
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential transcript expression,ANGPTL4
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential intron excision,TMEM230
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential alternative splicing,GUSBP11
tobacco_smoke_control_drug_tse_drug,TSE-drug,Upregulated genes,PTAFR
tobacco_smoke_control_drug_tse_drug,TSE-drug,Downregulated genes,FAM131C
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential exon usage,SLC3A2
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential transcript expression,PDE9A
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential intron excision,CCDC50
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential alternative splicing,AC067752.1
tobacco_smoke_control_drug_tse_drug,TSE-drug,Upregulated genes,FNDC5
tobacco_smoke_control_drug_tse_drug,TSE-drug,Downregulated genes,SLC30A2
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential exon usage,LAMA3
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential transcript expression,WIPI2
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential intron excision,BIRC2
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential alternative splicing,NSMCE1-DT
tobacco_smoke_control_drug_tse_drug,TSE-drug,Upregulated genes,CLSPN
tobacco_smoke_control_drug_tse_drug,TSE-drug,Downregulated genes,TENT5B
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential exon usage,KRT15
tobacco_smoke_control_drug_tse_drug,TSE-drug,Differential transcript expression,KCNJ16
