comparison_id,comparison_name,gene_set,gene_name
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Upregulated genes,TP73
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Downregulated genes,SAMD11
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential exon usage,CCND3
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential transcript expression,CYP1A1
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential intron excision,CCND3
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential alternative splicing,KRT15
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Upregulated genes,ACOT7
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Downregulated genes,TTLL10
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential exon usage,HSD11B2
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential transcript expression,THSD4
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential intron excision,DNAJC15
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential alternative splicing,DCPS
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Upregulated genes,PER3
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Downregulated genes,LINC01786
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential exon usage,LRRC41
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential transcript expression,CYP4B1
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential intron excision,TNFRSF1A
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential alternative splicing,RCBTB2
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Upregulated genes,PADI2
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Downregulated genes,SCNN1D
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential exon usage,UNG
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential transcript expression,CTNND1
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential intron excision,CD59
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential alternative splicing,MYO6
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Upregulated genes,IFFO2
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Downregulated genes,PLCH2
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential exon usage,FAM13A
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential transcript expression,ZNF276
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential intron excision,TSC22D3
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential alternative splicing,CCDC50
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Upregulated genes,UBXN10
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Downregulated genes,AL139246.2
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential exon usage,LAMA5
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential transcript expression,SLCO2B1
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential intron excision,LRRC41
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential alternative splicing,SNRNP70
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Upregulated genes,SH2D5
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Downregulated genes,AL139246.3
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential exon usage,UBC
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential transcript expression,KIF16B
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential intron excision,C11orf54
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential alternative splicing,SLC22A20P
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Upregulated genes,E2F2
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Downregulated genes,MMEL1
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential exon usage,HNRNPA2B1
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential transcript expression,ANGPTL4
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential intron excision,TMEM230
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential alternative splicing,GUSBP11
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Upregulated genes,PTAFR
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Downregulated genes,FAM131C
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential exon usage,SLC3A2
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential transcript expression,PDE9A
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential intron excision,CCDC50
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential alternative splicing,AC067752.1
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Upregulated genes,FNDC5
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Downregulated genes,SLC30A2
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential exon usage,LAMA3
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential transcript expression,WIPI2
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential intron excision,BIRC2
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential alternative splicing,NSMCE1-DT
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Upregulated genes,CLSPN
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Downregulated genes,TENT5B
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential exon usage,KRT15
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential transcript expression,KCNJ16
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential intron excision,CFDP1
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Differential alternative splicing,GPR137
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Upregulated genes,CTPS1
tobacco_smoke_control_vehicle_tse_vehicle,TSE-Nodrug,Downregulated genes,SYNC
