comparison_id,comparison_name,gene_set,gene_name
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Upregulated genes,CRP
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Downregulated genes,ACOT11
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential exon usage,HPCAL1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential transcript expression,SNHG29
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential intron excision,RPS6
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential alternative splicing,IKZF1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Upregulated genes,ADAMTS4
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Downregulated genes,TFCP2L1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential exon usage,PRKCE
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential transcript expression,PRKCE
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential intron excision,ITIH4
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential alternative splicing,TP53I3
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Upregulated genes,TP53I3
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Downregulated genes,IGFBP2
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential transcript expression,P4HA1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential intron excision,APOA2
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential alternative splicing,USP8
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Upregulated genes,PRKCE
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Downregulated genes,VIL1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential intron excision,CES1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential alternative splicing,MIER1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Upregulated genes,EDAR
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Downregulated genes,UGT1A3
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential intron excision,APOH
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential alternative splicing,FAHD2B
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Upregulated genes,LINC00607
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Downregulated genes,EFCAB12
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential intron excision,AP2S1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential alternative splicing,PMS2P1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Upregulated genes,TMEM154
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Downregulated genes,LINC01322
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential intron excision,IGHG3
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential alternative splicing,FBXW11
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Upregulated genes,COL28A1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Downregulated genes,EGR1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential alternative splicing,WASHC2A
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Upregulated genes,SERPINE1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Downregulated genes,AC079061.1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential alternative splicing,SLC17A4
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Upregulated genes,TP53INP1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Downregulated genes,NCS1
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Differential alternative splicing,HYAL2
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Upregulated genes,RET
nafl_nash_spectrum_nafl_normal_weight,NAFL_normal,Downregulated genes,P4HA1
