comparison_id,comparison_name,gene_set,gene_name
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,TMEM52
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,AL390719.1
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,CYP17A1
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,AKR1B10
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,NBPF14
liver_diseases_normal_early_hcc,Early_HCC,Differential alternative splicing,MOCS1
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,CFAP74
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,TP73
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,IMMT
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,ALDH3A2
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,SLCO2B1
liver_diseases_normal_early_hcc,Early_HCC,Differential alternative splicing,MPPE1
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,SMIM1
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,SLC2A5
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,ERLIN1
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,CYP3A5
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,UGT2B7
liver_diseases_normal_early_hcc,Early_HCC,Differential alternative splicing,SELENOP
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,KAZN
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,BX323043.1
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,AMOTL1
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,TRPM8
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,TMEM45A
liver_diseases_normal_early_hcc,Early_HCC,Differential alternative splicing,FAM111A
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,EPHA2
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,LINC02606
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,FGGY
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,EPHX1
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,PPARGC1A
liver_diseases_normal_early_hcc,Early_HCC,Differential alternative splicing,IDNK
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,ESPNP
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,AL954705.1
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,NCOR1
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,PZP
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,GATM
liver_diseases_normal_early_hcc,Early_HCC,Differential alternative splicing,CEP192
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,RNU1-2
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,RBP7
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,GAPDH
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,UBE2D3
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,CYP2C18
liver_diseases_normal_early_hcc,Early_HCC,Differential alternative splicing,ANKRD36
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,PADI4
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,FBXO2
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,PCSK5
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,CYP2C8
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,SAA2
liver_diseases_normal_early_hcc,Early_HCC,Differential alternative splicing,NDRG2
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,NBL1
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,PRAMEF2
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,SLCO2B1
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,RPL19
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,CD302
liver_diseases_normal_early_hcc,Early_HCC,Differential alternative splicing,LINC01564
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,MAN1C1
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,PRAMEF4
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,INSIG1
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,NDRG2
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,SORBS2
liver_diseases_normal_early_hcc,Early_HCC,Differential alternative splicing,MGC32805
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,CNKSR1
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,PRAMEF10
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,GATM
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,G3BP2
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,ACSL5
liver_diseases_normal_early_hcc,Early_HCC,Differential alternative splicing,RPGR
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,GJB3
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,PRAMEF33
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,CROT
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,SPTAN1
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,HLA-F
liver_diseases_normal_early_hcc,Early_HCC,Differential alternative splicing,TNRC6C
liver_diseases_normal_early_hcc,Early_HCC,Upregulated genes,RNU5F-1
liver_diseases_normal_early_hcc,Early_HCC,Downregulated genes,PRAMEF15
liver_diseases_normal_early_hcc,Early_HCC,Differential exon usage,AC066614.1
liver_diseases_normal_early_hcc,Early_HCC,Differential transcript expression,CTSB
liver_diseases_normal_early_hcc,Early_HCC,Differential intron excision,RAPH1
