comparison_id,comparison_name,gene_set,gene_name
nsclc_control_nsclc,NSCLC,Upregulated genes,AL390719.1
nsclc_control_nsclc,NSCLC,Downregulated genes,TAL1
nsclc_control_nsclc,NSCLC,Differential exon usage,COL11A1
nsclc_control_nsclc,NSCLC,Differential intron excision,SERPINA1
nsclc_control_nsclc,NSCLC,Differential alternative splicing,MYO6
nsclc_control_nsclc,NSCLC,Upregulated genes,FNDC10
nsclc_control_nsclc,NSCLC,Downregulated genes,DAB1
nsclc_control_nsclc,NSCLC,Differential exon usage,MMEL1
nsclc_control_nsclc,NSCLC,Differential intron excision,TRAPPC5
nsclc_control_nsclc,NSCLC,Differential alternative splicing,ALS2CL
nsclc_control_nsclc,NSCLC,Upregulated genes,TMEM52
nsclc_control_nsclc,NSCLC,Downregulated genes,TCTEX1D1
nsclc_control_nsclc,NSCLC,Differential exon usage,SERPINA1
nsclc_control_nsclc,NSCLC,Differential intron excision,MARK3
nsclc_control_nsclc,NSCLC,Differential alternative splicing,MYO5B
nsclc_control_nsclc,NSCLC,Upregulated genes,ESPN
nsclc_control_nsclc,NSCLC,Downregulated genes,GBP4
nsclc_control_nsclc,NSCLC,Differential exon usage,MAP4K2
nsclc_control_nsclc,NSCLC,Differential intron excision,CD44
nsclc_control_nsclc,NSCLC,Differential alternative splicing,RAC1
nsclc_control_nsclc,NSCLC,Upregulated genes,PIK3CD-AS2
nsclc_control_nsclc,NSCLC,Downregulated genes,ITGA10
nsclc_control_nsclc,NSCLC,Differential exon usage,SPINK5
nsclc_control_nsclc,NSCLC,Differential intron excision,CTNND1
nsclc_control_nsclc,NSCLC,Differential alternative splicing,ITGB2
nsclc_control_nsclc,NSCLC,Upregulated genes,DISP3
nsclc_control_nsclc,NSCLC,Downregulated genes,ADAMTSL4
nsclc_control_nsclc,NSCLC,Differential exon usage,DNAJC7
nsclc_control_nsclc,NSCLC,Differential intron excision,MYO6
nsclc_control_nsclc,NSCLC,Differential alternative splicing,VEGFA
nsclc_control_nsclc,NSCLC,Upregulated genes,FBXO2
nsclc_control_nsclc,NSCLC,Downregulated genes,GPA33
nsclc_control_nsclc,NSCLC,Differential exon usage,NOTCH1
nsclc_control_nsclc,NSCLC,Differential intron excision,HMGN1
nsclc_control_nsclc,NSCLC,Differential alternative splicing,MTHFD2
nsclc_control_nsclc,NSCLC,Upregulated genes,AGMAT
nsclc_control_nsclc,NSCLC,Downregulated genes,RASAL2
nsclc_control_nsclc,NSCLC,Differential exon usage,ARHGEF4
nsclc_control_nsclc,NSCLC,Differential intron excision,LMO7
nsclc_control_nsclc,NSCLC,Differential alternative splicing,C4orf47
nsclc_control_nsclc,NSCLC,Upregulated genes,CLCNKB
nsclc_control_nsclc,NSCLC,Downregulated genes,PTGS2
nsclc_control_nsclc,NSCLC,Differential exon usage,MYL6
nsclc_control_nsclc,NSCLC,Differential intron excision,ACOT9
nsclc_control_nsclc,NSCLC,Differential alternative splicing,WASH3P
nsclc_control_nsclc,NSCLC,Upregulated genes,FAM131C
nsclc_control_nsclc,NSCLC,Downregulated genes,MYBPH
nsclc_control_nsclc,NSCLC,Differential exon usage,CCDC58
nsclc_control_nsclc,NSCLC,Differential intron excision,TPM1
nsclc_control_nsclc,NSCLC,Differential alternative splicing,ST3GAL5
nsclc_control_nsclc,NSCLC,Upregulated genes,ESPNP
nsclc_control_nsclc,NSCLC,Downregulated genes,PRKCE
nsclc_control_nsclc,NSCLC,Differential exon usage,NGEF
nsclc_control_nsclc,NSCLC,Differential intron excision,PRMT2
nsclc_control_nsclc,NSCLC,Differential alternative splicing,RNF167
nsclc_control_nsclc,NSCLC,Upregulated genes,Z98257.1
nsclc_control_nsclc,NSCLC,Downregulated genes,GNLY
nsclc_control_nsclc,NSCLC,Differential exon usage,EEF1D
nsclc_control_nsclc,NSCLC,Differential intron excision,RAC1
nsclc_control_nsclc,NSCLC,Differential alternative splicing,NBPF15
nsclc_control_nsclc,NSCLC,Upregulated genes,PLA2G2C
nsclc_control_nsclc,NSCLC,Downregulated genes,IL18R1
nsclc_control_nsclc,NSCLC,Differential exon usage,PTCRA
nsclc_control_nsclc,NSCLC,Differential intron excision,NASP
nsclc_control_nsclc,NSCLC,Differential alternative splicing,GATD1
nsclc_control_nsclc,NSCLC,Upregulated genes,CDA
nsclc_control_nsclc,NSCLC,Downregulated genes,IL1A
nsclc_control_nsclc,NSCLC,Differential exon usage,PLEKHG1
nsclc_control_nsclc,NSCLC,Differential intron excision,SPAG9
nsclc_control_nsclc,NSCLC,Differential alternative splicing,NEO1
nsclc_control_nsclc,NSCLC,Upregulated genes,RHCE
nsclc_control_nsclc,NSCLC,Downregulated genes,LIMS2
nsclc_control_nsclc,NSCLC,Differential exon usage,CFAP251
nsclc_control_nsclc,NSCLC,Differential intron excision,DDR1
nsclc_control_nsclc,NSCLC,Differential alternative splicing,WDR53
nsclc_control_nsclc,NSCLC,Upregulated genes,STMN1
nsclc_control_nsclc,NSCLC,Downregulated genes,NCKAP5
nsclc_control_nsclc,NSCLC,Differential exon usage,ACSM3
nsclc_control_nsclc,NSCLC,Differential intron excision,KIAA1217
nsclc_control_nsclc,NSCLC,Differential alternative splicing,SERPINA1
nsclc_control_nsclc,NSCLC,Upregulated genes,IFI6
nsclc_control_nsclc,NSCLC,Downregulated genes,NR4A2
nsclc_control_nsclc,NSCLC,Differential exon usage,WFDC2
nsclc_control_nsclc,NSCLC,Differential intron excision,DMKN
nsclc_control_nsclc,NSCLC,Differential alternative splicing,ATP5F1C
nsclc_control_nsclc,NSCLC,Upregulated genes,RCC1
nsclc_control_nsclc,NSCLC,Downregulated genes,RAPGEF4
nsclc_control_nsclc,NSCLC,Differential exon usage,KRT15
nsclc_control_nsclc,NSCLC,Differential intron excision,CASK
nsclc_control_nsclc,NSCLC,Differential alternative splicing,RWDD4
nsclc_control_nsclc,NSCLC,Upregulated genes,SERINC2
nsclc_control_nsclc,NSCLC,Downregulated genes,CALCRL
nsclc_control_nsclc,NSCLC,Differential exon usage,ZNF43
nsclc_control_nsclc,NSCLC,Differential intron excision,NCOR2
nsclc_control_nsclc,NSCLC,Differential alternative splicing,KANK1
nsclc_control_nsclc,NSCLC,Upregulated genes,ADGRB2
nsclc_control_nsclc,NSCLC,Downregulated genes,SLC11A1
nsclc_control_nsclc,NSCLC,Differential exon usage,RNF128
nsclc_control_nsclc,NSCLC,Differential intron excision,SLC9A3R2
nsclc_control_nsclc,NSCLC,Differential alternative splicing,CERS4
nsclc_control_nsclc,NSCLC,Upregulated genes,GJB5
nsclc_control_nsclc,NSCLC,Downregulated genes,SLC19A3
nsclc_control_nsclc,NSCLC,Differential exon usage,LDLRAD4
nsclc_control_nsclc,NSCLC,Differential intron excision,ADD3
nsclc_control_nsclc,NSCLC,Differential alternative splicing,SSR2
nsclc_control_nsclc,NSCLC,Upregulated genes,COL9A2
nsclc_control_nsclc,NSCLC,Downregulated genes,DNER
nsclc_control_nsclc,NSCLC,Differential exon usage,RHOC
nsclc_control_nsclc,NSCLC,Differential intron excision,PITPNA
nsclc_control_nsclc,NSCLC,Differential alternative splicing,PAK4
nsclc_control_nsclc,NSCLC,Upregulated genes,FOXO6
nsclc_control_nsclc,NSCLC,Downregulated genes,VIPR1
nsclc_control_nsclc,NSCLC,Differential exon usage,UBXN11
nsclc_control_nsclc,NSCLC,Differential intron excision,LGALS9
nsclc_control_nsclc,NSCLC,Differential alternative splicing,TARBP1
nsclc_control_nsclc,NSCLC,Upregulated genes,HPDL
nsclc_control_nsclc,NSCLC,Downregulated genes,ADAMTS9-AS1
nsclc_control_nsclc,NSCLC,Differential exon usage,CCDC171
nsclc_control_nsclc,NSCLC,Differential intron excision,PELO
nsclc_control_nsclc,NSCLC,Differential alternative splicing,HLA-F-AS1
nsclc_control_nsclc,NSCLC,Upregulated genes,RAD54L
nsclc_control_nsclc,NSCLC,Downregulated genes,DUBR
nsclc_control_nsclc,NSCLC,Differential exon usage,AHSA2P
nsclc_control_nsclc,NSCLC,Differential intron excision,FAT1
nsclc_control_nsclc,NSCLC,Differential alternative splicing,GPR157
nsclc_control_nsclc,NSCLC,Upregulated genes,DMRTA2
nsclc_control_nsclc,NSCLC,Downregulated genes,PCOLCE2
nsclc_control_nsclc,NSCLC,Differential exon usage,ILK
nsclc_control_nsclc,NSCLC,Differential intron excision,CAPN7
nsclc_control_nsclc,NSCLC,Differential alternative splicing,PDCD6
nsclc_control_nsclc,NSCLC,Upregulated genes,SLC1A7
nsclc_control_nsclc,NSCLC,Downregulated genes,B3GALNT1
nsclc_control_nsclc,NSCLC,Differential exon usage,CYBC1
nsclc_control_nsclc,NSCLC,Differential intron excision,CLINT1
nsclc_control_nsclc,NSCLC,Differential alternative splicing,LARP4B
nsclc_control_nsclc,NSCLC,Upregulated genes,AL445205.1
nsclc_control_nsclc,NSCLC,Downregulated genes,TFRC
nsclc_control_nsclc,NSCLC,Differential exon usage,SIPA1
nsclc_control_nsclc,NSCLC,Differential intron excision,MACF1
nsclc_control_nsclc,NSCLC,Differential alternative splicing,LMO7
nsclc_control_nsclc,NSCLC,Upregulated genes,AK4
nsclc_control_nsclc,NSCLC,Downregulated genes,KDR
nsclc_control_nsclc,NSCLC,Differential exon usage,AL139220.2
nsclc_control_nsclc,NSCLC,Differential intron excision,NAA38
nsclc_control_nsclc,NSCLC,Differential alternative splicing,PELO
nsclc_control_nsclc,NSCLC,Upregulated genes,HHLA3
nsclc_control_nsclc,NSCLC,Downregulated genes,PPBP
nsclc_control_nsclc,NSCLC,Differential exon usage,UPB1
nsclc_control_nsclc,NSCLC,Differential intron excision,NME2
nsclc_control_nsclc,NSCLC,Differential alternative splicing,DERL2
nsclc_control_nsclc,NSCLC,Upregulated genes,GBP6
nsclc_control_nsclc,NSCLC,Downregulated genes,HPGD
nsclc_control_nsclc,NSCLC,Differential exon usage,ABHD4
nsclc_control_nsclc,NSCLC,Differential intron excision,NEO1
nsclc_control_nsclc,NSCLC,Differential alternative splicing,UBE2I
nsclc_control_nsclc,NSCLC,Upregulated genes,BCAR3-AS1
nsclc_control_nsclc,NSCLC,Downregulated genes,MIR3945HG
nsclc_control_nsclc,NSCLC,Differential exon usage,SRP9
nsclc_control_nsclc,NSCLC,Differential intron excision,ESYT2
nsclc_control_nsclc,NSCLC,Differential alternative splicing,NUP54
nsclc_control_nsclc,NSCLC,Upregulated genes,SLC44A3-AS1
nsclc_control_nsclc,NSCLC,Downregulated genes,ITGA1
nsclc_control_nsclc,NSCLC,Differential exon usage,APOLD1
nsclc_control_nsclc,NSCLC,Differential intron excision,MYO18A
nsclc_control_nsclc,NSCLC,Differential alternative splicing,PPIP5K1
nsclc_control_nsclc,NSCLC,Upregulated genes,PPM1J
nsclc_control_nsclc,NSCLC,Downregulated genes,HK3
nsclc_control_nsclc,NSCLC,Differential exon usage,FHAD1
nsclc_control_nsclc,NSCLC,Differential intron excision,DUS4L-BCAP29
nsclc_control_nsclc,NSCLC,Differential alternative splicing,ZNF232
nsclc_control_nsclc,NSCLC,Upregulated genes,VTCN1
nsclc_control_nsclc,NSCLC,Downregulated genes,BTNL9
nsclc_control_nsclc,NSCLC,Differential exon usage,ABCA4
nsclc_control_nsclc,NSCLC,Differential intron excision,AC093484.3
nsclc_control_nsclc,NSCLC,Differential alternative splicing,MACROH2A1
nsclc_control_nsclc,NSCLC,Upregulated genes,TBX15
nsclc_control_nsclc,NSCLC,Downregulated genes,HLA-V
nsclc_control_nsclc,NSCLC,Differential exon usage,ROBO2
nsclc_control_nsclc,NSCLC,Differential intron excision,TP53TG1
nsclc_control_nsclc,NSCLC,Differential alternative splicing,CD99L2
nsclc_control_nsclc,NSCLC,Upregulated genes,HORMAD1
nsclc_control_nsclc,NSCLC,Downregulated genes,AL391807.1
nsclc_control_nsclc,NSCLC,Differential exon usage,LINC02478
nsclc_control_nsclc,NSCLC,Differential intron excision,ERBIN
nsclc_control_nsclc,NSCLC,Differential alternative splicing,QRICH2
nsclc_control_nsclc,NSCLC,Upregulated genes,RFX5-AS1
nsclc_control_nsclc,NSCLC,Downregulated genes,LINC00472
nsclc_control_nsclc,NSCLC,Differential exon usage,MYO5B
nsclc_control_nsclc,NSCLC,Differential intron excision,DTX2
nsclc_control_nsclc,NSCLC,Differential alternative splicing,NUMB
nsclc_control_nsclc,NSCLC,Upregulated genes,PGLYRP4
nsclc_control_nsclc,NSCLC,Downregulated genes,BVES
nsclc_control_nsclc,NSCLC,Differential exon usage,AP5Z1
nsclc_control_nsclc,NSCLC,Differential intron excision,MDK
nsclc_control_nsclc,NSCLC,Differential alternative splicing,MAGIX
