comparison_id,comparison_name,gene_set,gene_name
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,AL627309.2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,SAMD11
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,HNRNPC
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,TJP2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,GBP3
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,BCAT2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,AL669831.3
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,AL513320.1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,HLA-B
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,SEL1L3
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,NT5C3A
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,SRSF3
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,AL645608.7
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,SLC5A9
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,B2M
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,WWTR1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,SAT1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,SAT1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,ISG15
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,LDLRAD1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,RMI2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,ASAP1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,EIF4A2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,DUSP10
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,PLEKHG5
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,ITLN1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,C11orf58
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,NEDD9
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,SPATS2L
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,POGZ
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,TNFRSF9
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,AC093904.4
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,TNIP1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,BCLAF1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,MX1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,AP1G1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,SPSB1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,AC008074.2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,CCNL1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,IFNL3
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,ADAP1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,RSRC2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,FBXO6
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,INHBB
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,ISG20
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,ASXL1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,RSRC2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,MAP3K13
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,TNFRSF1B
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,PROC
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,ATF7IP
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,TJP1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,H2BC5
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,TNIP1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,SPEN
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,DUSP19
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,BCAT2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,WDR36
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,NR1D1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,NDUFV2-AS1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,ANO7L1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,TMEFF2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,HNRNPL
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,SREK1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,HNRNPL
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,DDX47
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,IL22RA1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,KRT8P30
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,TBC1D15
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,RASA1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,IP6K2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,PPP4R3A
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,RUNX3
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,MAB21L4
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,GLS
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,ZMYND8
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,CPNE1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,POMZP3
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,IFI6
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,AHSG
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,IFI27
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,MCM4
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,SHISA5
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,NR1D2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,THEMIS2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,UGT2B15
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,SRSF3
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,XBP1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,ADAR
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,CCNL1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,PHACTR4
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,UGT2A3
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,RSF1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,BRI3BP
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,SRSF3
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,TRA2B
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,RAB42
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,UGT2B7
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,H3-3B
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,ARF1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,IGF2BP2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,HNRNPLL
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,NKAIN1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,LINC01612
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,KRT17
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,EHBP1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,MIR4435-2HG
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,WARS1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,LINC01226
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,EEF1A1P13
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,TIMM10
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,KITLG
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,AKAP8L
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,YEATS4
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,COL16A1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,SMIM32
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,SQSTM1
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,VCAN
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,PHACTR4
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential alternative splicing,NT5C3A
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Upregulated genes,RNF19B
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Downregulated genes,NDUFA2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential exon usage,ATP13A4
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential transcript expression,STAT2
sars_cov_2_variants_control_delta_24hr,SARS-CoV-2-Delta-24h,Differential intron excision,POGZ
