comparison_id,comparison_name,gene_set,gene_name
asthma_asthma_control_base,Asthma-base,Upregulated genes,PTGER3
asthma_asthma_control_base,Asthma-base,Downregulated genes,AC107021.2
asthma_asthma_control_base,Asthma-base,Differential intron excision,WASH8P
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,F3
asthma_asthma_control_base,Asthma-base,Upregulated genes,EPHX4
asthma_asthma_control_base,Asthma-base,Downregulated genes,AEBP1
asthma_asthma_control_base,Asthma-base,Differential intron excision,NBPF19
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TVP23C-CDRT4
asthma_asthma_control_base,Asthma-base,Upregulated genes,SYPL2
asthma_asthma_control_base,Asthma-base,Downregulated genes,AP003071.5
asthma_asthma_control_base,Asthma-base,Differential intron excision,AC105052.1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,CMAHP
asthma_asthma_control_base,Asthma-base,Upregulated genes,LCE2A
asthma_asthma_control_base,Asthma-base,Downregulated genes,MAP3K9
asthma_asthma_control_base,Asthma-base,Differential intron excision,NSD3
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,NME6
asthma_asthma_control_base,Asthma-base,Upregulated genes,TRIM58
asthma_asthma_control_base,Asthma-base,Differential intron excision,RASA4
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,MYO15A
asthma_asthma_control_base,Asthma-base,Upregulated genes,DIRC3
asthma_asthma_control_base,Asthma-base,Differential intron excision,PSG4
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,KCNK15-AS1
asthma_asthma_control_base,Asthma-base,Upregulated genes,AFP
asthma_asthma_control_base,Asthma-base,Differential intron excision,CDK11A
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TTC13
asthma_asthma_control_base,Asthma-base,Upregulated genes,GRIK2
asthma_asthma_control_base,Asthma-base,Differential intron excision,BDKRB2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TRIM2
asthma_asthma_control_base,Asthma-base,Upregulated genes,TSPAN13
asthma_asthma_control_base,Asthma-base,Differential intron excision,OAZ1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,CYTOR
asthma_asthma_control_base,Asthma-base,Upregulated genes,RELN
asthma_asthma_control_base,Asthma-base,Differential intron excision,NBPF14
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,RHBDD1
asthma_asthma_control_base,Asthma-base,Upregulated genes,CHRM2
asthma_asthma_control_base,Asthma-base,Differential intron excision,SLC20A2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ABCA9
asthma_asthma_control_base,Asthma-base,Upregulated genes,TEK
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,DHX35
asthma_asthma_control_base,Asthma-base,Upregulated genes,EIF5AL1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,FAM66D
asthma_asthma_control_base,Asthma-base,Upregulated genes,SLITRK1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ASCC2
asthma_asthma_control_base,Asthma-base,Upregulated genes,IFI27
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,DHRS1
asthma_asthma_control_base,Asthma-base,Upregulated genes,SERPINB2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,WASF3
asthma_asthma_control_base,Asthma-base,Upregulated genes,MX2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,PSME3IP1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,CEP44
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,MAPK10
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,PLAGL1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ACOX1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ZNF461
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,CARD8
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ZBTB21
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,C8orf31
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,SP110
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ELP2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,DICER1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,SLC25A43
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TSC22D2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ZNF559-ZNF177
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,EIF3E
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TRHDE-AS1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,PPARA
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,PCTP
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TET2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,HTR2B
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,DMKN
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,LINC00475
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,MFSD8
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,SEPTIN2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TCF4
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,PRPSAP2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,CNTRL
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,SRD5A3-AS1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,FAS
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,AC087500.1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,VCPKMT
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ZNF606
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TPCN2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,EFCAB13
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ZDHHC24
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,SOCS2-AS1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,LRRC27
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,HAUS2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,DNAAF4
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,MFAP3
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,AC068888.1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,YAF2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,NPHP4
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,CARMN
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,CEBPZOS
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,CAB39L
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ZFAND2A-DT
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TMEM14B
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,AC098487.1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,CCND2-AS1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,CNOT2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ACACB
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,AFG1L
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,SRRM1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,CALM1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TASOR2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,SCUBE3
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ADCY4
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ZNF383
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ARHGAP32
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TANK
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,PDK2
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,NDUFAF6
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TIGD7
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,PICALM
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,HACL1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,MACF1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,SLC25A33
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,AKT1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,NAB1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,FAHD2CP
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,USP36
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,ZNF138
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TMEM241
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TLR4
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,IMMP1L
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,PVT1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,PIGA
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,AC078883.1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,CHROMR
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TMCC1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,USP4
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,C19orf54
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,AC108010.1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,SLC35E2A
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,KLHL24
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,SDCBP2-AS1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,NPIPA1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,IL6R
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,PRPF4B
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,RGS20
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,SNHG5
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,MFSD13A
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,KRBOX4
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,MRPL55
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,AC105942.1
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,BPHL
asthma_asthma_control_base,Asthma-base,Differential alternative splicing,TCOF1
