comparison_id,comparison_name,gene_set,gene_name
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Upregulated genes,KLHL17
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Downregulated genes,MTCO3P12
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential exon usage,CSF1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential transcript expression,SIGLEC10
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential intron excision,CSF1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential alternative splicing,LITAF
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Upregulated genes,ISG15
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Downregulated genes,LINC02593
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential exon usage,LINC01588
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential transcript expression,IL1B
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential intron excision,MYO1G
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential alternative splicing,IL7R
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Upregulated genes,AGRN
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Downregulated genes,RNF223
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential exon usage,CCL4
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential transcript expression,CCL4L2
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential intron excision,LIPA
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential alternative splicing,IL1RN
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Upregulated genes,AL031282.1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Downregulated genes,TTLL10
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential exon usage,PTTG1IP
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential transcript expression,PHOSPHO1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential intron excision,VIM
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential alternative splicing,MSANTD3
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Upregulated genes,SLC35E2A
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Downregulated genes,TNFRSF18
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential exon usage,ACTN1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential transcript expression,IDO1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential intron excision,SNX8
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential alternative splicing,PRMT2
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Upregulated genes,TP73-AS1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Downregulated genes,TNFRSF4
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential exon usage,DOCK10
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential transcript expression,EGR3
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential intron excision,PEA15
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential alternative splicing,CD44
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Upregulated genes,C1orf174
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Downregulated genes,SDF4
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential exon usage,LRRC28
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential transcript expression,IL1RAP
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential intron excision,SMAP2
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential alternative splicing,SLC7A11
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Upregulated genes,LINC01134
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Downregulated genes,SCNN1D
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential exon usage,PSAP
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential transcript expression,PTPRE
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential intron excision,ICAM1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential alternative splicing,DGKA
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Upregulated genes,RNF207
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Downregulated genes,MXRA8
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential exon usage,ASAP1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential transcript expression,TNC
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential intron excision,CAPG
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential alternative splicing,RAPGEF1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Upregulated genes,THAP3
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Downregulated genes,CFAP74
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential exon usage,SPECC1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential transcript expression,CD276
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential intron excision,FLNA
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential alternative splicing,TMBIM1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Upregulated genes,TNFRSF9
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Downregulated genes,TNFRSF14-AS1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential exon usage,ACTG1
tuberculosis_hi_72_live_72,MTB_hi72_Live72,Differential transcript expression,ALOX15B
