comparison_id,comparison_name,gene_set,gene_name
asthma_asthma_control_albuterol,Asthma-albuterol,Upregulated genes,LCE2C
asthma_asthma_control_albuterol,Asthma-albuterol,Downregulated genes,CDCA7
asthma_asthma_control_albuterol,Asthma-albuterol,Differential exon usage,CCND3
asthma_asthma_control_albuterol,Asthma-albuterol,Differential intron excision,POLR2J3
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ZNF778
asthma_asthma_control_albuterol,Asthma-albuterol,Upregulated genes,LCE2A
asthma_asthma_control_albuterol,Asthma-albuterol,Downregulated genes,CPNE5
asthma_asthma_control_albuterol,Asthma-albuterol,Differential intron excision,WASH8P
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,DNAAF4
asthma_asthma_control_albuterol,Asthma-albuterol,Upregulated genes,TRIM58
asthma_asthma_control_albuterol,Asthma-albuterol,Downregulated genes,BMF
asthma_asthma_control_albuterol,Asthma-albuterol,Differential intron excision,AC241952.1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,CFDP1
asthma_asthma_control_albuterol,Asthma-albuterol,Upregulated genes,OR2W3
asthma_asthma_control_albuterol,Asthma-albuterol,Differential intron excision,BDKRB2
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,TMCC1
asthma_asthma_control_albuterol,Asthma-albuterol,Upregulated genes,AP1S3
asthma_asthma_control_albuterol,Asthma-albuterol,Differential intron excision,CLDND1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,MUC20-OT1
asthma_asthma_control_albuterol,Asthma-albuterol,Upregulated genes,GRIP2
asthma_asthma_control_albuterol,Asthma-albuterol,Differential intron excision,AC242842.3
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,PCTP
asthma_asthma_control_albuterol,Asthma-albuterol,Upregulated genes,RELN
asthma_asthma_control_albuterol,Asthma-albuterol,Differential intron excision,PSG4
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SLC49A3
asthma_asthma_control_albuterol,Asthma-albuterol,Upregulated genes,PODXL
asthma_asthma_control_albuterol,Asthma-albuterol,Differential intron excision,SLC35E2A
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SENP6
asthma_asthma_control_albuterol,Asthma-albuterol,Upregulated genes,CHRM2
asthma_asthma_control_albuterol,Asthma-albuterol,Differential intron excision,ACYP2
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,CRYBB2P1
asthma_asthma_control_albuterol,Asthma-albuterol,Upregulated genes,SERPINB2
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ZNF345
asthma_asthma_control_albuterol,Asthma-albuterol,Upregulated genes,AC016590.4
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,CFAP20DC
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,DYNLL1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,GPR161
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,TVP23C
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SPAG1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,CTSB
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,CKMT2-AS1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,TSNARE1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,IFI44L
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SPATS2L
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SLC44A3-AS1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,TPCN2
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SPEN
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ZNF160
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,MYO18A
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,MRRF
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SEC63
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,AMMECR1L
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SIPA1L1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,DIAPH3
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,NVL
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,STAU1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,HMGN1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ZNF426
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SLC66A2
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ATG13
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,AC087477.2
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ANKRD6
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ABCB9
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,AC068888.1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,GRK4
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ACBD4
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SNHG14
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,AC091390.3
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SCNN1D
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,DNALI1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,DENND6B
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ZFYVE16
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,THAP6
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,RFX1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,AC108010.1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,CALM2
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,NAALADL1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,L3MBTL1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,EP400P1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,PC
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ZCWPW1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,NDE1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ASCC2
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,FANK1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,NQO2
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,RPARP-AS1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,TENM4
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,LINC00893
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,CCND3
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,IRAG1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,TMEM241
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SDHAP3
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,CCDC85A
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,MIR4435-2HG
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,TPT1-AS1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,MRPL55
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,SNHG5
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,IFI44
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,AC022034.1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,FUOM
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,INTS4
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,FAM131A
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ZFAND2A-DT
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,HDAC10
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,RUNX1T1
asthma_asthma_control_albuterol,Asthma-albuterol,Differential alternative splicing,ST7L
