comparison_id,comparison_name,gene_set,gene_name
gall_bladder_cancer_control,Gall_bladder_cancer,Upregulated genes,KLHL17
gall_bladder_cancer_control,Gall_bladder_cancer,Downregulated genes,HES4
gall_bladder_cancer_control,Gall_bladder_cancer,Differential exon usage,OGN
gall_bladder_cancer_control,Gall_bladder_cancer,Differential transcript expression,SYNPO2
gall_bladder_cancer_control,Gall_bladder_cancer,Differential intron excision,PPP1R12A
gall_bladder_cancer_control,Gall_bladder_cancer,Differential alternative splicing,SPAG9
gall_bladder_cancer_control,Gall_bladder_cancer,Upregulated genes,TNFRSF18
gall_bladder_cancer_control,Gall_bladder_cancer,Downregulated genes,MXRA8
gall_bladder_cancer_control,Gall_bladder_cancer,Differential exon usage,SVIL
gall_bladder_cancer_control,Gall_bladder_cancer,Differential transcript expression,MYH11
gall_bladder_cancer_control,Gall_bladder_cancer,Differential intron excision,CTNND1
gall_bladder_cancer_control,Gall_bladder_cancer,Differential alternative splicing,MT1X
gall_bladder_cancer_control,Gall_bladder_cancer,Upregulated genes,TAS1R3
gall_bladder_cancer_control,Gall_bladder_cancer,Downregulated genes,MMP23B
gall_bladder_cancer_control,Gall_bladder_cancer,Differential exon usage,PPP1R12B
gall_bladder_cancer_control,Gall_bladder_cancer,Differential transcript expression,IGF1
gall_bladder_cancer_control,Gall_bladder_cancer,Differential intron excision,CD44
gall_bladder_cancer_control,Gall_bladder_cancer,Differential alternative splicing,TPM1
gall_bladder_cancer_control,Gall_bladder_cancer,Upregulated genes,LINC01770
gall_bladder_cancer_control,Gall_bladder_cancer,Downregulated genes,ERRFI1
gall_bladder_cancer_control,Gall_bladder_cancer,Differential exon usage,ATP2B4
gall_bladder_cancer_control,Gall_bladder_cancer,Differential transcript expression,FHL1
gall_bladder_cancer_control,Gall_bladder_cancer,Differential intron excision,MBNL1
gall_bladder_cancer_control,Gall_bladder_cancer,Differential alternative splicing,PDLIM7
gall_bladder_cancer_control,Gall_bladder_cancer,Upregulated genes,ATAD3B
gall_bladder_cancer_control,Gall_bladder_cancer,Downregulated genes,SPSB1
gall_bladder_cancer_control,Gall_bladder_cancer,Differential exon usage,SORBS2
gall_bladder_cancer_control,Gall_bladder_cancer,Differential transcript expression,HSPB7
gall_bladder_cancer_control,Gall_bladder_cancer,Differential intron excision,DCN
gall_bladder_cancer_control,Gall_bladder_cancer,Differential alternative splicing,SMTN
gall_bladder_cancer_control,Gall_bladder_cancer,Upregulated genes,FNDC10
gall_bladder_cancer_control,Gall_bladder_cancer,Downregulated genes,PDPN
gall_bladder_cancer_control,Gall_bladder_cancer,Differential exon usage,FAM230C
gall_bladder_cancer_control,Gall_bladder_cancer,Differential transcript expression,DES
gall_bladder_cancer_control,Gall_bladder_cancer,Differential intron excision,ARID5B
gall_bladder_cancer_control,Gall_bladder_cancer,Differential alternative splicing,SMARCC2
gall_bladder_cancer_control,Gall_bladder_cancer,Upregulated genes,AL691432.1
