comparison_id,comparison_name,gene_set,gene_name
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,IFI44L
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential exon usage,IFI27
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential transcript expression,BATF2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential intron excision,GSTM4
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,GPR161
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,IFI44
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential exon usage,LGALS9
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential transcript expression,MX1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential intron excision,ARF1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,BCAS3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,CMPK2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential exon usage,HLA-B
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential transcript expression,MX2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential intron excision,PMS2P8
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CHD1L
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,IFIH1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential exon usage,IFI6
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential transcript expression,IFI27
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential intron excision,AC093484.3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,LINC02086
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,RN7SL834P
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential exon usage,TAP1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential transcript expression,XAF1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,SCN8A
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,CXCL10
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential exon usage,RMI2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential transcript expression,IFI6
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,C2orf92
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,TNF
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential exon usage,CCDC82
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CNTNAP3P2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,ETV7
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential exon usage,CTSH
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,NDUFS7
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,IL6
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential exon usage,IFITM3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CROCCP3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,SAMD9L
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,HDGF
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,CD274
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CPSF4
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,IFNB1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,LOXL2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,DDX58
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CASC19
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,CH25H
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,PVT1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,IFIT2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,OSBPL6
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,IFIT3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,RHEB
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,IFIT1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,LINC01224
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,OR52K3P
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,NBPF14
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,TRIM22
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,MOCOS
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,BATF2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,UTS2B
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,OAS1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,DTX3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,OAS2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CLHC1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,EPSTI1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,RBM25
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,SOCS1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,NEDD1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,NLRC5
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,SNHG28
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,XAF1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,TERT
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,AC116407.2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,MIR924HG
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,IFNL3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CCDC17
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,IFNL2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,AL023755.1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,IFNL1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,SEPTIN2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,ZBP1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,PHKG2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,HELZ2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,AGBL3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,MX2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,KHK
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,MX1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,MUC20-OT1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,AC008079.1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,GARS1-DT
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Upregulated genes,USP18
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,TLE1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,NUTM2A-AS1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,ZNF672
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,AC105942.1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,DCLRE1C
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,AMT
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,RANBP3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,AC009533.1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,SDCCAG8
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CATSPERB
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,TBC1D1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,ABHD16A
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,LNCOC1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,PPP2R5C
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,MYO15A
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CCNP
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CTBP2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,ZNF815P
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,PSME3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,TMEM14B
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,LINC01572
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,KRIT1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,SLC25A39
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,AC010198.2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,DNAH14
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,RAI2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,HMOX2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,FUT10
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,AC117464.1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CREM
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,ARMCX4
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,DARS-AS1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,OGG1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,GPI
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,ENDOV
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,PIGK
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,EFCAB6
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,PCSK6
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,MAPT
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,TM7SF3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,FANCL
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,EPN2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,PARP15
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,MAILR
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,AL732372.2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,TMEM218
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,RPL23AP82
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,WDR62
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,ZNF620
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,MEIS2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,PHYKPL
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,MLLT10
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,TMEM45A
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,MARCHF7
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,SLC43A3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,PLEKHS1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,DGKA
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,RNF38
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,HEG1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,PSMA1
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,NUP50-DT
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,MFAP3
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,AGAP6
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CERS4
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,BACE2
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,LINC00511
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,IDH3G
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,ATG13
sars_cov_2_covid_12hr_control_covid_12hr_infected,SARS-CoV-2-12h,Differential alternative splicing,CCSER1
