comparison_id,comparison_name,gene_set,gene_name
asthma_asthma_control_vit_d,Asthma-VitD,Downregulated genes,CERS4
asthma_asthma_control_vit_d,Asthma-VitD,Differential exon usage,HSD52
asthma_asthma_control_vit_d,Asthma-VitD,Differential intron excision,AC138969.1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,ACYP2
asthma_asthma_control_vit_d,Asthma-VitD,Differential intron excision,WASH9P
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,AHSA2P
asthma_asthma_control_vit_d,Asthma-VitD,Differential intron excision,EIF4A3
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,GARS1-DT
asthma_asthma_control_vit_d,Asthma-VitD,Differential intron excision,TPRA1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,SLC44A3-AS1
asthma_asthma_control_vit_d,Asthma-VitD,Differential intron excision,RRAS2
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,TVP23C
asthma_asthma_control_vit_d,Asthma-VitD,Differential intron excision,NPIPA2
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,MEAK7
asthma_asthma_control_vit_d,Asthma-VitD,Differential intron excision,ZNF875
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,SCHIP1
asthma_asthma_control_vit_d,Asthma-VitD,Differential intron excision,ADH1B
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,AL590822.3
asthma_asthma_control_vit_d,Asthma-VitD,Differential intron excision,NBPF19
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,D2HGDH
asthma_asthma_control_vit_d,Asthma-VitD,Differential intron excision,SPATS2
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,NT5C
asthma_asthma_control_vit_d,Asthma-VitD,Differential intron excision,TOR1AIP1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,ATG16L2
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,RNFT1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,SAAL1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,CD44
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,LIPE
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,POU6F1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,TMEM120B
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,AC098487.1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,ALKBH1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,AC002074.1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,RBM15
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,GSDMD
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,NQO2
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,GPR161
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,GALT
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,ANKMY1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,DRAM2
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,IL17RA
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,NR2F1-AS1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,POLR2J4
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,SLC49A3
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,APTX
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,GUSBP11
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,SEC61A1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,NAA16
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,PCTP
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,GAS5
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,CYTOR
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,MRPL43
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,GSN
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,PSME3IP1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,MIOS
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,GBP2
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,BAIAP2L2
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,HLA-DMA
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,EP400P1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,PTGES2
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,ATP5MC1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,SPG7
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,SGCE
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,CARS1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,TMEM175
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,UBE2V1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,ATG4D
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,CEP350
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,NME4
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,PIGT
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,RIN3
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,PVT1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,UGDH-AS1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,TOR1AIP1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,ADSS1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,ABHD12
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,NDUFA5
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,NRGN
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,ISG20
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,PABPC1L
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,SLC1A7
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,NECAB3
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,MED17
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,TBC1D7
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,C7orf50
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,AC005562.1
asthma_asthma_control_vit_d,Asthma-VitD,Differential alternative splicing,DPH7
