comparison_id,comparison_name,gene_set,gene_name
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,CRP
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,ACOT11
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential exon usage,HPCAL1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential transcript expression,SNHG29
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential intron excision,RPS6
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,IKZF1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,ADAMTS4
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,TFCP2L1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential exon usage,PRKCE
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential transcript expression,PRKCE
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential intron excision,ITIH4
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,TP53I3
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,TP53I3
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,IGFBP2
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential transcript expression,P4HA1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential intron excision,APOA2
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,USP8
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,PRKCE
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,VIL1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential intron excision,CES1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,MIER1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,EDAR
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,UGT1A3
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential intron excision,APOH
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,FAHD2B
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,LINC00607
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,EFCAB12
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential intron excision,AP2S1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,PMS2P1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,TMEM154
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,LINC01322
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential intron excision,IGHG3
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,FBXW11
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,COL28A1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,EGR1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,WASHC2A
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,SERPINE1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,AC079061.1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,SLC17A4
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,TP53INP1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,NCS1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,HYAL2
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,RET
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,P4HA1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,BPTF
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,EIF2S3B
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,AL391684.1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,TBC1D7
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,ANKS1B
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,AC007298.2
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,ERBIN
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,SPTBN5
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,AL355096.1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,SEPTIN6
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,SSTR5-AS1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,DIO3OS
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,SGSM2
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,SMPD3
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,SHBG
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,C2orf74
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,TCAP
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,RASL10B
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,PRKDC
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,OLFM2
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,ACER1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,GPR107
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,AC020907.1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,CYP2A7
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,KIF13A
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,ISM1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,CYP2B7P
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,DLG1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,KCNB1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Downregulated genes,FAM9B
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,LMO7
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Upregulated genes,XK
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,EEF1AKMT1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,CD81
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,LETMD1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,FGFR3
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,HSCB
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,RHOT1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,PTPN3
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,MYNN
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,SLC39A5
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,MBD1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,AXIN1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,CLN3
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,WDR45
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,CPSF7
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,SYNM
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,RALY
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,THBS3
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,IDE
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,NR2C1
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,SEPTIN8
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,ITIH4
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,KIF2A
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,ZSCAN26
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,FAM104B
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,APEH
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,ANAPC15
nafl_nash_spectrum_nafl_nash,NAFL_NASH,Differential alternative splicing,SGCE
