comparison_id,comparison_name,gene_set,gene_name
sclc_sclc_control,SCLC,Upregulated genes,AL390719.1
sclc_sclc_control,SCLC,Downregulated genes,TAL1
sclc_sclc_control,SCLC,Differential exon usage,COL11A1
sclc_sclc_control,SCLC,Differential intron excision,SERPINA1
sclc_sclc_control,SCLC,Differential alternative splicing,MYO6
sclc_sclc_control,SCLC,Upregulated genes,FNDC10
sclc_sclc_control,SCLC,Downregulated genes,DAB1
sclc_sclc_control,SCLC,Differential exon usage,MMEL1
sclc_sclc_control,SCLC,Differential intron excision,TRAPPC5
sclc_sclc_control,SCLC,Differential alternative splicing,ALS2CL
sclc_sclc_control,SCLC,Upregulated genes,TMEM52
sclc_sclc_control,SCLC,Downregulated genes,TCTEX1D1
sclc_sclc_control,SCLC,Differential exon usage,SERPINA1
sclc_sclc_control,SCLC,Differential intron excision,MARK3
sclc_sclc_control,SCLC,Differential alternative splicing,MYO5B
sclc_sclc_control,SCLC,Upregulated genes,ESPN
sclc_sclc_control,SCLC,Downregulated genes,GBP4
sclc_sclc_control,SCLC,Differential exon usage,MAP4K2
sclc_sclc_control,SCLC,Differential intron excision,CD44
sclc_sclc_control,SCLC,Differential alternative splicing,RAC1
sclc_sclc_control,SCLC,Upregulated genes,PIK3CD-AS2
sclc_sclc_control,SCLC,Downregulated genes,ITGA10
sclc_sclc_control,SCLC,Differential exon usage,SPINK5
sclc_sclc_control,SCLC,Differential intron excision,CTNND1
sclc_sclc_control,SCLC,Differential alternative splicing,ITGB2
sclc_sclc_control,SCLC,Upregulated genes,DISP3
sclc_sclc_control,SCLC,Downregulated genes,ADAMTSL4
sclc_sclc_control,SCLC,Differential exon usage,DNAJC7
sclc_sclc_control,SCLC,Differential intron excision,MYO6
sclc_sclc_control,SCLC,Differential alternative splicing,VEGFA
sclc_sclc_control,SCLC,Upregulated genes,FBXO2
sclc_sclc_control,SCLC,Downregulated genes,GPA33
sclc_sclc_control,SCLC,Differential exon usage,NOTCH1
sclc_sclc_control,SCLC,Differential intron excision,HMGN1
sclc_sclc_control,SCLC,Differential alternative splicing,MTHFD2
sclc_sclc_control,SCLC,Upregulated genes,AGMAT
sclc_sclc_control,SCLC,Downregulated genes,RASAL2
sclc_sclc_control,SCLC,Differential exon usage,ARHGEF4
sclc_sclc_control,SCLC,Differential intron excision,LMO7
sclc_sclc_control,SCLC,Differential alternative splicing,C4orf47
sclc_sclc_control,SCLC,Upregulated genes,CLCNKB
sclc_sclc_control,SCLC,Downregulated genes,PTGS2
sclc_sclc_control,SCLC,Differential exon usage,MYL6
sclc_sclc_control,SCLC,Differential intron excision,ACOT9
sclc_sclc_control,SCLC,Differential alternative splicing,WASH3P
sclc_sclc_control,SCLC,Upregulated genes,FAM131C
sclc_sclc_control,SCLC,Downregulated genes,MYBPH
sclc_sclc_control,SCLC,Differential exon usage,CCDC58
sclc_sclc_control,SCLC,Differential intron excision,TPM1
sclc_sclc_control,SCLC,Differential alternative splicing,ST3GAL5
sclc_sclc_control,SCLC,Upregulated genes,ESPNP
sclc_sclc_control,SCLC,Downregulated genes,PRKCE
sclc_sclc_control,SCLC,Differential exon usage,NGEF
sclc_sclc_control,SCLC,Differential intron excision,PRMT2
sclc_sclc_control,SCLC,Differential alternative splicing,RNF167
sclc_sclc_control,SCLC,Upregulated genes,Z98257.1
sclc_sclc_control,SCLC,Downregulated genes,GNLY
sclc_sclc_control,SCLC,Differential exon usage,EEF1D
sclc_sclc_control,SCLC,Differential intron excision,RAC1
sclc_sclc_control,SCLC,Differential alternative splicing,NBPF15
sclc_sclc_control,SCLC,Upregulated genes,PLA2G2C
sclc_sclc_control,SCLC,Downregulated genes,IL18R1
sclc_sclc_control,SCLC,Differential exon usage,PTCRA
sclc_sclc_control,SCLC,Differential intron excision,NASP
sclc_sclc_control,SCLC,Differential alternative splicing,GATD1
sclc_sclc_control,SCLC,Upregulated genes,CDA
sclc_sclc_control,SCLC,Downregulated genes,IL1A
sclc_sclc_control,SCLC,Differential exon usage,PLEKHG1
