comparison_id,comparison_name,gene_set,gene_name
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Upregulated genes,Gm28437
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Downregulated genes,Mcm3
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential exon usage,Cdv3
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential intron excision,Mug2
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential alternative splicing,H2-Q7
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Upregulated genes,Gm29216
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Downregulated genes,Fam135a
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential exon usage,H2-Q7
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential intron excision,Cyp3a11
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential alternative splicing,Arhgap17
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Upregulated genes,Zap70
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Downregulated genes,Zfp451
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential exon usage,Ptprf
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential intron excision,Cfhr2
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential alternative splicing,Rai1
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Upregulated genes,Gm6822
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Downregulated genes,Tmem131
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential exon usage,Ghr
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential intron excision,Ghr
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential alternative splicing,Gtf2ird1
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Upregulated genes,Rpl37a
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Downregulated genes,Nck2
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential exon usage,Gclm
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential intron excision,Ifi30
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential alternative splicing,Sec24b
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Upregulated genes,Ctdsp1
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Downregulated genes,Slc40a1
liver_damage_ploidy_diploid_aged_polyploid_aged,2n-aged_P-aged,Differential exon usage,Timeless
