"comparison_id","condition","disease_group","disease_group_combined","section_target","total_unique_genes","total_rmats_events","SE_count","pct_SE","RI_count","pct_RI","MXE_count","pct_MXE","A3SS_count","pct_A3SS","A5SS_count","pct_A5SS"
"mers_mers24_control","MERS","viral_infections","viral_infections","3_3_viral_timecourse",7461,3268,2091,63.98,452,13.83,182,5.57,294,9,249,7.62
"sars_sars24_control","SARS","viral_infections","viral_infections","3_3_viral_timecourse",4973,2350,1303,55.45,487,20.72,105,4.47,236,10.04,219,9.32
"covid_india_covid_19_control","COVID-India","viral_infections","viral_infections","3_3_viral_timecourse",18337,1969,274,13.92,307,15.59,1237,62.82,88,4.47,63,3.2
"nafld_control_nafld","NAFLD","hepatobiliary","hepatobiliary","3_7_hepatobiliary",13619,1889,147,7.78,215,11.38,1432,75.81,57,3.02,38,2.01
"mers_mers12_control","MERS","viral_infections","viral_infections","3_3_viral_timecourse",3524,1690,1074,63.55,249,14.73,69,4.08,171,10.12,127,7.51
"liver_diseases_normal_dysplastic_nodule","Liver diseases","hepatobiliary","hepatobiliary","3_7_hepatobiliary",10465,1573,463,29.43,184,11.7,762,48.44,96,6.1,68,4.32
"liver_diseases_normal_liver_cirrhosis","Liver diseases","hepatobiliary","hepatobiliary","3_7_hepatobiliary",9800,1561,477,30.56,228,14.61,700,44.84,83,5.32,73,4.68
"sars_sars2_control","SARS","viral_infections","viral_infections","3_3_viral_timecourse",2120,1554,968,62.29,225,14.48,84,5.41,136,8.75,141,9.07
"sars_cov_2_covid_48hr_control_covid_48hr_infected","SARS-CoV-2","viral_infections","viral_infections","3_3_viral_timecourse",5470,1515,845,55.78,290,19.14,106,7,140,9.24,134,8.84
"liver_diseases_normal_chronic_hepatitis","Liver diseases","hepatobiliary","hepatobiliary","3_7_hepatobiliary",8842,1463,330,22.56,126,8.61,906,61.93,59,4.03,42,2.87
"sars_sars4_control","SARS","viral_infections","viral_infections","3_3_viral_timecourse",2032,1369,852,62.24,221,16.14,64,4.67,118,8.62,114,8.33
"mers_mers4_control","MERS","viral_infections","viral_infections","3_3_viral_timecourse",2142,1365,839,61.47,230,16.85,64,4.69,114,8.35,118,8.64
"mers_mers2_control","MERS","viral_infections","viral_infections","3_3_viral_timecourse",1812,1353,916,67.7,170,12.56,42,3.1,111,8.2,114,8.43
"ipf_ipf_control","IPF","chronic_fibrotic","chronic_fibrotic","3_5_chronic_fibrotic",10177,1312,536,40.85,431,32.85,120,9.15,144,10.98,81,6.17
"sars_cov_2_variants_alpha_control_72hr","SARS-CoV-2 Variants","viral_infections","viral_infections","3_3_viral_timecourse",7292,1274,695,54.55,281,22.06,48,3.77,151,11.85,99,7.77
"copd_control_copd","COPD","chronic_fibrotic","chronic_fibrotic","3_5_chronic_fibrotic",6907,1149,88,7.66,73,6.35,958,83.38,12,1.04,18,1.57
"covid_europe_covid_19_control","COVID-Europe","viral_infections","viral_infections","3_3_viral_timecourse",18282,1119,307,27.44,271,24.22,419,37.44,40,3.57,82,7.33
"sars_sars12_control","SARS","viral_infections","viral_infections","3_3_viral_timecourse",1276,1057,667,63.1,161,15.23,44,4.16,83,7.85,102,9.65
"sars_cov_2_covid_72hr_control_covid_72hr_infected","SARS-CoV-2","viral_infections","viral_infections","3_3_viral_timecourse",2588,990,613,61.92,131,13.23,64,6.46,94,9.49,88,8.89
"sars_cov_2_covid_24hr_control_covid_24hr_infected","SARS-CoV-2","viral_infections","viral_infections","3_3_viral_timecourse",4591,977,466,47.7,134,13.72,213,21.8,88,9.01,76,7.78
"liver_diseases_normal_advanced_hcc","Liver diseases","hepatobiliary","Cancers","3_7_hepatobiliary",8166,850,389,45.76,117,13.76,238,28,57,6.71,49,5.76
"tuberculosis_live_72_ni_72","Tuberculosis","acute_bacterial","acute_bacterial","3_4_acute_bacterial",9529,838,469,55.97,165,19.69,42,5.01,78,9.31,84,10.02
"sars_cov_2_variants_alpha_control_48hr","SARS-CoV-2 Variants","viral_infections","viral_infections","3_3_viral_timecourse",2539,744,473,63.58,126,16.94,28,3.76,60,8.06,57,7.66
