"comparison_id","disease_group","sample_type","tool","gene_count","comparison_label","disease_group_label"
"covid_europe_covid_19_control","viral_infections","tissue","DEXSeq",14313,"COVID-Austria","Viral infections"
"covid_europe_covid_19_control","viral_infections","tissue","Sleuth",8552,"COVID-Austria","Viral infections"
"covid_europe_covid_19_control","viral_infections","tissue","Leafcutter",394,"COVID-Austria","Viral infections"
"covid_europe_covid_19_control","viral_infections","tissue","rMATS",965,"COVID-Austria","Viral infections"
"covid_india_covid_19_control","viral_infections","tissue","DEXSeq",12466,"COVID-INDIA","Viral infections"
"covid_india_covid_19_control","viral_infections","tissue","Sleuth",7425,"COVID-INDIA","Viral infections"
"covid_india_covid_19_control","viral_infections","tissue","Leafcutter",433,"COVID-INDIA","Viral infections"
"covid_india_covid_19_control","viral_infections","tissue","rMATS",1675,"COVID-INDIA","Viral infections"
"influenza_inf_24_control","viral_infections","cell_line","DEXSeq",104,"Influenza_24","Viral infections"
"influenza_inf_24_control","viral_infections","cell_line","Sleuth",35,"Influenza_24","Viral infections"
"influenza_inf_24_control","viral_infections","cell_line","Leafcutter",23,"Influenza_24","Viral infections"
"influenza_inf_24_control","viral_infections","cell_line","rMATS",309,"Influenza_24","Viral infections"
"influenza_inf_48_control","viral_infections","cell_line","DEXSeq",227,"Influenza_48","Viral infections"
"influenza_inf_48_control","viral_infections","cell_line","Sleuth",144,"Influenza_48","Viral infections"
"influenza_inf_48_control","viral_infections","cell_line","Leafcutter",57,"Influenza_48","Viral infections"
"influenza_inf_48_control","viral_infections","cell_line","rMATS",485,"Influenza_48","Viral infections"
"influenza_inf_8_control","viral_infections","cell_line","DEXSeq",45,"Influenza_8","Viral infections"
"influenza_inf_8_control","viral_infections","cell_line","Sleuth",1,"Influenza_8","Viral infections"
"influenza_inf_8_control","viral_infections","cell_line","Leafcutter",11,"Influenza_8","Viral infections"
"influenza_inf_8_control","viral_infections","cell_line","rMATS",338,"Influenza_8","Viral infections"
"mers_mers12_control","viral_infections","cell_line","DEXSeq",869,"MERS12","Viral infections"
"mers_mers12_control","viral_infections","cell_line","Sleuth",455,"MERS12","Viral infections"
"mers_mers12_control","viral_infections","cell_line","Leafcutter",176,"MERS12","Viral infections"
"mers_mers12_control","viral_infections","cell_line","rMATS",1508,"MERS12","Viral infections"
"mers_mers24_control","viral_infections","cell_line","DEXSeq",2589,"MERS24","Viral infections"
"mers_mers24_control","viral_infections","cell_line","Sleuth",1743,"MERS24","Viral infections"
"mers_mers24_control","viral_infections","cell_line","Leafcutter",560,"MERS24","Viral infections"
"mers_mers24_control","viral_infections","cell_line","rMATS",2750,"MERS24","Viral infections"
"mers_mers2_control","viral_infections","cell_line","DEXSeq",354,"MERS2","Viral infections"
"mers_mers2_control","viral_infections","cell_line","Sleuth",38,"MERS2","Viral infections"
"mers_mers2_control","viral_infections","cell_line","Leafcutter",85,"MERS2","Viral infections"
"mers_mers2_control","viral_infections","cell_line","rMATS",1219,"MERS2","Viral infections"
"mers_mers4_control","viral_infections","cell_line","DEXSeq",559,"MERS4","Viral infections"
"mers_mers4_control","viral_infections","cell_line","Sleuth",115,"MERS4","Viral infections"
"mers_mers4_control","viral_infections","cell_line","Leafcutter",73,"MERS4","Viral infections"
"mers_mers4_control","viral_infections","cell_line","rMATS",1226,"MERS4","Viral infections"
"sars_cov_2_covid_0hr_control_covid_0hr_infected","viral_infections","cell_line","DEXSeq",307,"SARS-CoV-2-0h","Viral infections"
"sars_cov_2_covid_0hr_control_covid_0hr_infected","viral_infections","cell_line","Sleuth",29,"SARS-CoV-2-0h","Viral infections"
"sars_cov_2_covid_0hr_control_covid_0hr_infected","viral_infections","cell_line","Leafcutter",4,"SARS-CoV-2-0h","Viral infections"
